link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,1626615977.000,11.333,18.425,14.346,0.877,19.884,2.764,0.193,0.853,0.773,0.249,0.062,0.193,0.000,93.828,31.100,0,0,1,0.221
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,1626615885.000,29.569,36.445,30.704,0.638,41.632,5.196,0.169,2.392,0.773,0.128,0.016,0.169,0.000,66.653,34.400,2,0,0,0.203
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,6,0,0,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,1626615921.000,29.866,31.960,30.920,0.332,34.175,2.047,0.066,1.103,0.515,0.024,0.001,0.066,0.000,66.653,34.400,0,0,1,0.140
"(708, 9, '0')",0,,1800.000,0.105,35,170250231,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170250231.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,0.105
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,441459740.000,13.886,18.992,13.461,0.678,22.991,3.445,0.256,1.722,0.515,0.169,0.029,0.256,0.000,66.653,34.400,0,0,1,0.241
"(708, 733, '0')",0,,1800.000,0.199,45,441459739,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,441459739.000,24.355,24.720,18.459,0.300,34.175,4.463,0.242,1.589,0.258,0.059,0.003,0.242,0.000,66.653,34.400,0,0,2,0.262
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,1626615745.000,35.222,40.308,37.073,0.258,50.331,6.085,0.164,2.535,1.031,0.046,0.002,0.164,0.000,66.653,34.400,0,0,0,0.218
"(2, 43, '0')",1,2642.000,1800.000,0.229,60,1626704648,[601346],LWRLK,6,200.000,1,60,0.229,0.150,4.000,0.229,1800.000,1626704648.000,68.628,63.731,65.068,0.713,72.700,1.813,0.028,2.427,0.515,0.020,0.000,0.028,0.000,14.243,24.900,9,0,2,0.189
"(99, 43, '0')",1,2981.000,2400.000,0.210,65,1626704648,[601346],LWRLK,242,200.000,3,65,0.228,0.150,4.000,0.210,2400.000,1626704648.000,68.628,63.731,65.068,0.713,72.700,1.813,0.028,2.427,0.515,0.020,0.000,0.028,0.000,21.600,26.000,14,0,0,0.188
"(369, 164, '0')",1,1840.000,1800.000,0.035,60,1626729452,[601209],LWRLK,7,180.000,1,60,0.035,0.150,4.000,0.035,1800.000,1626729452.000,66.345,62.758,63.231,0.304,70.215,1.674,0.026,1.724,0.000,0.010,0.000,0.026,0.000,20.750,29.300,0,0,0,0.030
"(669, 164, '0')",1,2101.000,2400.000,0.210,65,1626729452,[601209],LWRLK,1552,200.000,3,65,0.227,0.150,4.000,0.210,2400.000,1626729452.000,66.345,62.758,63.231,0.304,70.215,1.674,0.026,1.724,0.000,0.010,0.000,0.026,0.000,20.750,29.300,1,0,0,0.194
"(3, 38, '0')",1,2001.000,1800.000,0.089,55,,"[601411, 602411]",LWRLK,8,200.000,1,55,0.082,0.150,4.000,0.089,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,0.089
"(3, 19, '0')",1,4807.000,2400.000,0.167,60,,[601411],LWRLK,9,200.000,3,60,0.167,0.150,4.000,0.167,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,0.167
"(4, 465, '0')",0,,2400.000,0.537,60,441671213,[],LWRLK,10,200.000,3,60,0.537,0.150,4.000,0.537,2400.000,441671213.000,30.879,26.314,24.835,0.174,39.146,4.675,0.188,2.136,0.773,0.046,0.002,0.188,0.000,42.500,36.500,0,1,1,0.823
"(361, 412, '0')",1,999.000,1800.000,0.021,55,400421634,[602210],LWRLK,11,180.000,1,55,0.019,0.150,4.000,0.021,1800.000,400421634.000,66.453,62.758,63.400,0.264,72.079,3.916,0.062,1.962,0.000,0.029,0.001,0.062,0.000,20.750,29.300,2,0,0,0.016
"(205, 412, '0')",1,999.000,2400.000,0.286,65,400421634,[602210],LWRLK,489,200.000,3,65,0.310,0.150,4.000,0.286,2400.000,400421634.000,66.453,62.758,63.400,0.264,72.079,3.916,0.062,1.962,0.000,0.029,0.001,0.062,0.000,20.750,29.300,7,0,2,0.258
"(473, 4, '0')",1,2364.500,1800.000,0.156,60,1626686637,"[601413, 602413]",LWRLK,12,180.000,1,60,0.156,0.150,4.000,0.156,1800.000,1626686637.000,65.251,64.974,62.029,0.599,69.594,1.811,0.029,2.827,0.515,0.018,0.000,0.029,0.000,42.500,36.500,8,0,2,0.134
"(252, 4, '0')",1,2444.000,2400.000,0.519,60,1626631905,[602413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,1626631905.000,65.541,64.974,62.191,0.244,70.215,1.761,0.028,3.028,0.515,0.010,0.000,0.028,0.000,42.205,21.100,26,0,3,0.443
