link_key,speed_ref_sd,intersections,tt_sd,road_closures,speed_avg,speed_max,speed_cv,median_age,incidents,tt_var,speed_hist_sd,tt_avg,bus_stops,median_inc,speed_ref_avg,inrix_id,speed_sd,speed_hist_avg,tt_cv
"(0, 1621, '0')",0.773,1,0.249,0.000,11.333,19.884,0.193,31.100,0,0.062,0.853,0.877,0,93.828,18.425,1626615977.000,2.764,14.346,0.193
"(61, 93, '0')",0.773,0,0.128,0.000,29.569,41.632,0.169,34.400,2,0.016,2.392,0.638,0,66.653,36.445,1626615885.000,5.196,30.704,0.169
"(61, 51, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,34.400,6,0.000,0.000,0.000,0,66.653,0.000,,0.000,0.000,0.000
"(57, 51, '0')",0.515,1,0.024,0.000,29.866,34.175,0.066,34.400,0,0.001,1.103,0.332,0,66.653,31.960,1626615921.000,2.047,30.920,0.066
"(708, 9, '0')",0.000,1,0.000,0.000,0.000,0.000,0.000,34.400,0,0.000,0.000,0.000,0,66.653,0.000,170250231.000,0.000,0.000,0.000
"(319, 9, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
"(708, 738, '0')",0.515,1,0.169,0.000,13.886,22.991,0.256,34.400,0,0.029,1.722,0.678,0,66.653,18.992,441459740.000,3.445,13.461,0.256
"(708, 733, '0')",0.258,2,0.059,0.000,24.355,34.175,0.242,34.400,0,0.003,1.589,0.300,0,66.653,24.720,441459739.000,4.463,18.459,0.242
"(1556, 1731, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
"(160, 95, '0')",1.031,0,0.046,0.000,35.222,50.331,0.164,34.400,0,0.002,2.535,0.258,0,66.653,40.308,1626615745.000,6.085,37.073,0.164
"(2, 43, '0')",0.515,2,0.020,0.000,68.628,72.700,0.028,24.900,9,0.000,2.427,0.713,0,14.243,63.731,1626704648.000,1.813,65.068,0.028
"(99, 43, '0')",0.515,0,0.020,0.000,68.628,72.700,0.028,26.000,14,0.000,2.427,0.713,0,21.600,63.731,1626704648.000,1.813,65.068,0.028
"(369, 164, '0')",0.000,0,0.010,0.000,66.345,70.215,0.026,29.300,0,0.000,1.724,0.304,0,20.750,62.758,1626729452.000,1.674,63.231,0.026
"(669, 164, '0')",0.000,0,0.010,0.000,66.345,70.215,0.026,29.300,1,0.000,1.724,0.304,0,20.750,62.758,1626729452.000,1.674,63.231,0.026
"(3, 38, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,24.500,0,0.000,0.000,0.000,0,17.434,0.000,,0.000,0.000,0.000
"(3, 19, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,24.500,0,0.000,0.000,0.000,0,17.434,0.000,,0.000,0.000,0.000
"(4, 465, '0')",0.773,1,0.046,0.000,30.879,39.146,0.188,36.500,0,0.002,2.136,0.174,1,42.500,26.314,441671213.000,4.675,24.835,0.188
"(361, 412, '0')",0.000,0,0.029,0.000,66.453,72.079,0.062,29.300,2,0.001,1.962,0.264,0,20.750,62.758,400421634.000,3.916,63.400,0.062
"(205, 412, '0')",0.000,2,0.029,0.000,66.453,72.079,0.062,29.300,7,0.001,1.962,0.264,0,20.750,62.758,400421634.000,3.916,63.400,0.062
"(473, 4, '0')",0.515,2,0.018,0.000,65.251,69.594,0.029,36.500,8,0.000,2.827,0.599,0,42.500,64.974,1626686637.000,1.811,62.029,0.029
"(252, 4, '0')",0.515,3,0.010,0.000,65.541,70.215,0.028,21.100,26,0.000,3.028,0.244,0,42.205,64.974,1626631905.000,1.761,62.191,0.028
"(5, 519, '0')",1.289,0,0.072,0.000,10.590,19.263,0.210,33.100,0,0.005,1.758,0.210,0,45.536,20.451,429471497.000,3.076,14.663,0.210
"(5, 35, '0')",1.289,1,0.192,0.000,11.212,19.263,0.180,33.100,0,0.037,1.758,0.759,0,45.536,20.451,1626736434.000,2.635,14.663,0.180
"(91, 35, '0')",2.062,2,0.058,0.000,14.872,29.204,0.249,33.100,0,0.003,1.082,0.185,0,45.536,23.774,429473541.000,4.642,18.628,0.249
"(510, 35, '0')",0.000,1,0.089,0.000,23.450,41.632,0.191,33.100,0,0.008,5.273,0.397,0,45.536,34.175,1626613838.000,5.291,27.631,0.191
"(6, 539, '0')",0.000,2,0.233,0.000,12.961,26.098,0.202,29.000,0,0.054,3.594,0.821,0,36.974,24.233,1626728177.000,3.980,19.661,0.202
"(166, 539, '0')",0.258,2,0.140,0.000,12.920,26.098,0.245,29.000,2,0.020,1.712,0.461,0,36.974,19.749,1626667843.000,3.429,13.994,0.245
"(557, 539, '0')",1.804,1,0.386,0.000,13.089,26.098,0.248,29.000,0,0.149,2.979,1.031,0,36.974,15.858,1626747729.000,3.795,15.305,0.248
"(6, 17, '0')",0.258,1,0.223,0.000,14.771,26.098,0.263,29.000,1,0.050,1.712,0.739,0,36.974,19.749,1626698650.000,3.685,13.994,0.263
"(213, 17, '0')",0.515,0,0.253,0.000,14.386,29.826,0.239,34.200,0,0.064,4.649,0.597,0,67.240,30.798,441679111.000,4.985,20.863,0.239
"(830, 17, '0')",1.031,0,0.147,0.000,18.094,33.554,0.242,34.200,0,0.022,3.171,0.479,1,67.240,26.179,441461376.000,5.328,22.011,0.242
"(865, 17, '0')",0.000,0,0.153,0.000,22.667,39.768,0.233,34.200,0,0.023,2.029,0.682,0,67.240,26.098,441679102.000,5.106,21.897,0.233
"(493, 250, '0')",0.000,1,0.000,0.000,0.000,0.000,0.000,21.100,0,0.000,0.000,0.000,0,42.205,0.000,,0.000,0.000,0.000
"(253, 250, '0')",0.000,2,0.104,0.000,24.922,37.904,0.177,21.100,20,0.011,4.212,0.539,0,42.205,37.904,1626706657.000,4.769,26.989,0.177
"(7, 559, '0')",0.773,0,0.178,0.000,14.832,21.748,0.136,34.400,0,0.032,0.918,0.782,0,66.653,29.421,441458238.000,2.957,21.701,0.136
"(8, 640, '0')",0.258,0,0.013,0.000,66.629,71.458,0.028,24.600,16,0.000,2.276,0.440,0,36.042,62.623,1626704618.000,1.736,62.495,0.028
"(105, 82, '0')",0.000,1,0.000,0.000,0.000,0.000,0.000,34.400,0,0.000,0.000,0.000,0,66.653,0.000,,0.000,0.000,0.000
"(105, 23, '0')",0.515,2,0.031,0.000,21.924,33.554,0.176,34.400,0,0.001,1.122,0.143,0,66.653,26.989,429471468.000,4.223,23.943,0.176
"(62, 23, '0')",0.773,1,0.173,0.000,10.388,28.583,0.193,34.400,0,0.030,0.918,0.452,0,66.653,29.421,1626735696.000,4.190,21.701,0.193
"(95, 23, '0')",1.031,1,0.046,0.000,35.222,50.331,0.164,34.400,1,0.002,2.535,0.258,0,66.653,40.308,1626615745.000,6.085,37.073,0.164
"(9, 708, '0')",0.000,1,0.000,0.000,0.000,0.000,0.000,34.400,0,0.000,0.000,0.000,0,66.653,0.000,170451683.000,0.000,0.000,0.000
"(707, 708, '0')",0.258,1,0.118,0.000,16.527,27.962,0.184,34.400,0,0.014,1.589,0.538,0,66.653,24.720,441679176.000,3.392,18.459,0.184
"(737, 708, '0')",0.258,1,0.101,0.000,16.297,26.719,0.271,34.400,0,0.010,1.646,0.361,0,66.653,19.749,441679174.000,3.924,14.501,0.271
"(9, 1230, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
"(82, 237, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,34.400,0,0.000,0.000,0.000,0,66.653,0.000,,0.000,0.000,0.000
"(144, 237, '0')",0.515,2,0.010,0.000,68.749,75.807,0.047,34.400,4,0.000,1.161,0.186,0,66.653,64.271,1626615940.000,2.987,63.150,0.047
"(62, 144, '0')",0.515,0,0.023,0.000,25.740,32.311,0.100,34.400,0,0.001,1.122,0.236,0,66.653,26.989,1626615706.000,2.406,23.943,0.100
"(48, 144, '0')",0.515,0,0.011,0.000,71.255,78.914,0.033,34.400,0,0.000,1.028,0.249,0,66.653,66.136,1626615688.000,2.166,65.919,0.033
"(57, 55, '0')",0.515,2,0.084,0.000,15.656,35.418,0.334,31.100,0,0.007,1.598,0.241,0,93.828,22.721,429471470.000,5.812,17.398,0.334
"(56, 55, '0')",0.000,2,0.086,0.000,13.819,27.340,0.222,31.100,0,0.007,1.434,0.327,0,93.828,24.233,1626751626.000,4.020,18.141,0.222
"(93, 55, '0')",0.515,1,0.024,0.000,29.866,34.175,0.066,31.100,0,0.001,1.103,0.332,0,93.828,31.960,1626615921.000,2.047,30.920,0.066
"(580, 142, '0')",0.258,0,0.014,0.000,69.979,73.943,0.028,34.400,0,0.000,1.923,0.529,0,66.653,66.622,170326096.000,1.816,65.892,0.028
"(12, 77, '0')",0.515,1,0.022,0.000,70.796,75.186,0.031,24.900,1,0.000,2.328,0.717,0,14.243,66.838,1626749030.000,2.070,65.960,0.031
"(143, 579, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,34.400,0,0.000,0.000,0.000,0,66.653,0.000,,0.000,0.000,0.000
"(1217, 10, '0')",0.000,1,0.195,0.000,21.971,37.282,0.225,28.700,0,0.038,1.276,1.096,0,39.191,24.855,1626721540.000,3.901,17.324,0.225
"(561, 10, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
"(1217, 1196, '0')",0.000,1,0.195,0.000,21.971,37.282,0.225,28.700,0,0.038,1.276,1.096,0,39.191,24.855,1626721540.000,3.901,17.324,0.225
"(14, 414, '0')",0.515,4,0.015,0.000,67.952,72.079,0.036,25.900,2,0.000,2.695,0.412,0,27.250,63.731,1626686499.000,2.267,63.576,0.036
"(577, 580, '0')",0.000,0,0.000,0.000,0.000,0.000,0.000,31.779,0,0.000,0.000,0.000,0,37.414,0.000,,0.000,0.000,0.000
"(15, 14, '0')",0.515,0,0.015,0.000,67.952,72.079,0.036,25.900,6,0.000,2.695,0.412,0,27.250,63.731,1626686499.000,2.267,63.576,0.036
