link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_id,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,pems_ids,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,tt_sd_adj,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977.000,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,[],1626615977.000,13.256,21.748,16.622,0.717,16.156,1.724,0.130,2.611,0.000,0.095,0.009,0.132,0,0.000,36.226,31.100,0.000,0.000,1.000,0.272
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885.000,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,[],1626615885.000,43.703,39.768,40.441,0.421,50.331,4.250,0.097,2.847,0.000,0.043,0.002,0.103,0,0.000,66.653,34.400,0.000,0.000,0.000,0.168
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.653,34.400,2.000,0.000,0.000,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921.000,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,[],1626615921.000,31.742,32.933,31.327,0.315,36.661,3.129,0.099,0.320,0.000,0.033,0.001,0.104,0,0.000,66.653,34.400,0.000,0.000,1.000,0.131
"(708, 9, '0')",0,,1800.000,0.105,35,170250231.000,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,[],170250231.000,22.162,22.991,,0.083,22.991,1.640,0.074,,0.000,0.008,0.000,0.093,0,0.000,66.653,34.400,0.000,0.000,1.000,0.159
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740.000,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,[],441459740.000,16.570,21.748,13.877,0.542,20.505,2.158,0.130,1.071,0.000,0.069,0.005,0.126,0,0.000,66.653,34.400,0.000,0.000,1.000,0.270
"(708, 733, '0')",0,,1800.000,0.199,45,441459739.000,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,[],441459739.000,19.884,26.098,18.123,0.353,21.748,1.325,0.067,0.359,0.000,0.023,0.001,0.064,0,0.000,66.653,34.400,0.000,0.000,2.000,0.411
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745.000,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,[],1626615745.000,40.078,42.875,42.150,0.225,45.981,4.485,0.112,1.980,0.000,0.024,0.001,0.108,0,0.000,66.653,34.400,0.000,0.000,0.000,0.239
"(2, 43, '0')",1,1998.000,1800.000,0.229,60,1626704648.000,[601346],LWRLK,6,200.000,1,60,0.229,0.150,4.000,0.229,1800.000,"[601346, 601346, 601346]",1626704648.000,26.307,65.244,63.276,0.718,70.215,1.227,0.018,0.640,0.000,0.014,0.000,0.020,0,0.000,14.243,24.900,5.000,0.000,2.000,0.196
"(99, 43, '0')",1,2983.000,2400.000,0.210,65,1626704648.000,[601346],LWRLK,242,200.000,3,65,0.228,0.150,4.000,0.210,2400.000,"[601346, 601346, 601346]",1626704648.000,26.307,65.244,63.276,0.718,70.215,1.227,0.018,0.640,0.000,0.014,0.000,0.020,0,0.000,21.600,26.000,3.000,0.000,0.000,0.195
"(369, 164, '0')",1,2842.000,1800.000,0.035,60,1626729452.000,[601209],LWRLK,7,180.000,1,60,0.035,0.150,4.000,0.035,1800.000,"[601209, 601209, 602209, 601209, 602209]",1626729452.000,66.538,64.001,63.173,0.303,68.351,1.363,0.020,0.612,0.000,0.008,0.000,0.026,0,0.000,20.750,29.300,0.000,0.000,0.000,0.031
"(669, 164, '0')",1,2567.000,2400.000,0.210,65,1626729452.000,[601209],LWRLK,1552,200.000,3,65,0.227,0.150,4.000,0.210,2400.000,"[601209, 601209, 602209, 601209, 602209]",1626729452.000,66.538,64.001,63.173,0.303,68.351,1.363,0.020,0.612,0.000,0.008,0.000,0.026,0,0.000,20.750,29.300,0.000,0.000,0.000,0.199
"(3, 38, '0')",1,1829.500,1800.000,0.089,55,,"[601411, 602411, 601411, 602411, 601411, 602411, 601411, 602411]",LWRLK,8,200.000,1,55,0.082,0.150,4.000,0.089,1800.000,"[601411, 602411, 601411, 602411, 601411, 602411, 601411, 602411]",,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,17.434,24.500,0.000,0.000,0.000,0.089
"(3, 19, '0')",1,4675.000,2400.000,0.167,60,,[601411],LWRLK,9,200.000,3,60,0.167,0.150,4.000,0.167,2400.000,"[601411, 601411, 602411, 601411, 602411]",,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,17.434,24.500,0.000,0.000,0.000,0.167
"(4, 465, '0')",0,,2400.000,0.537,60,441671213.000,[],LWRLK,10,200.000,3,60,0.537,0.150,4.000,0.537,2400.000,[],441671213.000,26.098,27.962,24.182,0.208,36.040,5.062,0.194,1.227,0.000,0.038,0.001,0.182,0,0.000,42.500,36.500,0.000,1.000,1.000,0.894
"(361, 412, '0')",1,1058.000,1800.000,0.021,55,400421634.000,[602210],LWRLK,11,180.000,1,55,0.019,0.150,4.000,0.021,1800.000,"[602210, 602210, 602210]",400421634.000,66.124,64.001,63.276,0.264,68.972,1.991,0.030,0.640,0.000,0.011,0.000,0.041,0,0.000,20.750,29.300,0.000,0.000,0.000,0.017
"(205, 412, '0')",1,1058.000,2400.000,0.286,65,400421634.000,"[602210, 602210, 602210, 602210]",LWRLK,489,200.000,3,65,0.310,0.150,4.000,0.286,2400.000,"[602210, 602210, 602210, 602210]",400421634.000,66.124,64.001,63.276,0.264,68.972,1.991,0.030,0.640,0.000,0.011,0.000,0.041,0,0.000,20.750,29.300,7.000,0.000,2.000,0.270
"(473, 4, '0')",1,2307.000,1800.000,0.156,60,1626686637.000,"[601413, 602413, 601413, 602413, 601413, 602413, 601413, 602413]",LWRLK,12,180.000,1,60,0.156,0.150,4.000,0.156,1800.000,"[601413, 602413, 601413, 602413, 601413, 602413, 601413, 602413]",1626686637.000,66.021,65.244,62.707,0.592,67.729,1.274,0.019,0.493,0.000,0.013,0.000,0.023,0,0.000,42.500,36.500,12.000,0.000,2.000,0.138
"(252, 4, '0')",1,2346.600,2400.000,0.519,60,1626631905.000,[601413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,"[602413, 601413, 602413, 601413, 602413]",1626631905.000,65.658,65.865,62.862,0.240,67.108,1.459,0.022,0.582,0.000,0.010,0.000,0.044,0,0.000,42.205,21.100,0.938,0.000,3.000,0.464
"(5, 519, '0')",0,,1800.000,0.019,35,429471497.000,[],LWRLK,13,200.000,1,35,0.011,0.150,4.000,0.019,1800.000,[],429471497.000,17.036,21.748,18.020,0.124,21.127,2.721,0.160,2.035,0.000,0.022,0.000,0.177,0,0.000,45.536,33.100,0.000,0.000,0.000,0.031
