key,speed_avg,speed_ref_sd,tt_sd_adj,speed_hist_avg,speed_sd,road_closures,tt_avg,median_inc,bus_stops,intersections,speed_cv,incidents,tt_cv,tt_sd,median_age,speed_hist_sd,tt_var,speed_ref_avg,tf
"(0, 1621, '0')",16.635,0.000,0,18.052,5.880,0.000,0.635,93.828,0,3,0.353,0,0.360,0.228,31.100,3.537,0.052,19.884,0.098
"(61, 93, '0')",34.926,0.000,0,33.586,8.655,0.000,0.553,66.653,0,1,0.248,2,0.258,0.142,34.400,8.031,0.020,37.904,0.169
"(61, 51, '0')",69.723,0.000,0,64.823,2.588,0.000,0.229,66.653,0,1,0.037,2,0.043,0.010,34.400,2.522,0.000,65.865,0.396
"(57, 51, '0')",32.751,0.000,0,34.907,5.110,0.000,0.364,66.653,0,1,0.156,2,0.153,0.056,34.400,4.788,0.003,37.282,0.192
"(708, 9, '0')",35.000,0.000,0,35.000,0.000,0.000,0.105,66.653,0,1,0.000,0,0.000,0.000,34.400,0.000,0.000,35.000,0.105
"(319, 9, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,66.653,0,1,0.000,0,0.000,0.000,34.400,0.000,0.000,99999.000,0.000
"(708, 738, '0')",19.722,0.000,0,16.072,4.939,0.000,0.298,66.653,0,2,0.250,0,0.271,0.081,34.400,3.889,0.007,19.263,0.123
"(708, 733, '0')",27.450,0.000,0,22.887,4.775,0.000,0.266,66.653,0,2,0.174,0,0.207,0.055,34.400,4.793,0.003,24.233,0.199
"(1556, 1731, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,39.750,0,0,0.000,0,0.000,0.000,29.900,0.000,0.000,99999.000,0.000
"(160, 95, '0')",36.946,0.000,0,37.684,6.915,0.000,0.249,66.653,0,0,0.187,0,0.230,0.057,34.400,8.145,0.003,42.253,0.314
"(2, 43, '0')",65.496,0.000,0,61.347,7.479,0.000,0.765,14.243,0,7,0.114,18,0.221,0.169,24.900,2.726,0.029,62.758,0.229
"(99, 43, '0')",65.496,0.000,0,61.347,7.479,0.000,0.765,21.600,0,7,0.114,18,0.221,0.169,26.000,2.726,0.029,62.758,0.210
"(369, 164, '0')",65.296,0.000,0,60.791,3.570,0.000,0.310,20.750,0,3,0.055,1,0.065,0.020,29.300,1.946,0.000,62.758,0.035
"(669, 164, '0')",65.296,0.000,0,60.791,3.570,0.000,0.310,20.750,0,3,0.055,1,0.065,0.020,29.300,1.946,0.000,62.758,0.210
"(3, 38, '0')",55.000,0.000,0,55.000,0.000,0.000,0.089,17.434,0,0,0.000,0,0.000,0.000,24.500,0.000,0.000,55.000,0.089
"(3, 19, '0')",66.467,0.000,0,61.639,3.182,0.000,0.197,17.434,0,0,0.048,4,0.063,0.012,24.500,2.051,0.000,64.001,0.167
"(4, 465, '0')",27.379,0.000,0,23.153,5.520,0.000,0.199,42.500,0,2,0.202,0,0.208,0.041,36.500,2.370,0.002,24.855,0.537
"(361, 412, '0')",65.859,0.000,0,61.017,4.086,0.000,0.264,20.750,0,3,0.062,4,0.078,0.021,29.300,1.997,0.000,62.758,0.021
"(205, 412, '0')",65.859,0.000,0,61.017,4.086,0.000,0.264,20.750,0,3,0.062,4,0.078,0.021,29.300,1.997,0.000,62.758,0.286
"(473, 4, '0')",66.551,0.000,0,61.095,3.549,0.000,0.588,42.500,1,5,0.053,9,0.054,0.032,36.500,2.559,0.001,64.001,0.156
"(252, 4, '0')",65.937,0.000,0,61.102,4.713,0.000,0.244,42.205,0,0,0.071,0,0.093,0.023,21.100,3.415,0.001,64.001,0.519
"(5, 519, '0')",17.741,0.000,0,20.816,8.487,0.000,0.546,45.536,1,3,0.478,0,0.391,0.214,33.100,5.757,0.046,18.020,0.019
"(5, 35, '0')",17.741,0.000,0,20.816,8.487,0.000,0.546,45.536,1,3,0.478,0,0.391,0.214,33.100,5.757,0.046,18.020,0.017
"(91, 35, '0')",14.518,0.000,0,25.030,10.898,0.000,0.114,45.536,0,1,0.751,0,1.005,0.115,33.100,8.248,0.013,22.991,0.156
"(510, 35, '0')",30.175,0.000,0,36.285,8.652,0.000,0.318,45.536,0,2,0.287,10,0.288,0.092,33.100,5.172,0.008,34.175,0.056
"(6, 539, '0')",18.305,0.000,0,28.382,9.423,0.000,0.694,36.974,0,3,0.515,0,0.495,0.343,29.000,3.952,0.118,24.233,0.216
"(166, 539, '0')",16.460,0.000,0,19.023,6.580,0.000,0.406,36.974,0,4,0.400,1,0.546,0.222,29.000,4.610,0.049,19.263,0.132
"(557, 539, '0')",16.732,0.000,0,18.149,5.722,0.000,0.842,36.974,0,1,0.342,6,0.463,0.390,29.000,4.702,0.152,19.263,0.256
"(6, 17, '0')",18.563,0.000,0,19.023,6.585,0.000,0.632,36.974,0,3,0.355,1,0.386,0.244,29.000,4.610,0.060,19.263,0.209
"(213, 17, '0')",20.447,0.000,0,18.796,8.649,0.000,0.447,67.240,0,2,0.423,0,0.466,0.208,34.200,5.302,0.043,29.826,0.223
"(830, 17, '0')",18.246,0.000,0,22.169,6.187,0.000,0.040,67.240,0,1,0.339,1,0.498,0.020,34.200,3.651,0.000,24.233,0.178
"(865, 17, '0')",24.098,0.000,0,22.272,5.250,0.000,0.641,67.240,1,2,0.218,1,0.233,0.149,34.200,3.561,0.022,26.098,0.129
"(493, 250, '0')",64.784,0.000,0,61.949,7.821,0.000,0.544,42.205,0,1,0.121,12,0.174,0.094,21.100,3.419,0.009,65.244,0.117
