key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(0, 1621, '0')",0.157,21.748,20.635,7.528,0.025,0.311,0,0,93.828,31.100,3,0.505,0.000,0,5.368,20.887,0.000,0.365,0.098
"(61, 93, '0')",0.515,39.768,40.978,11.500,0.265,0.897,0,0,66.653,34.400,1,0.574,0.000,0,3.552,38.687,0.000,0.281,0.169
"(61, 51, '0')",0.012,65.865,65.257,2.354,0.000,0.051,0,0,66.653,34.400,1,0.245,0.000,0,1.503,65.257,0.000,0.036,0.396
"(57, 51, '0')",0.052,36.040,36.557,5.719,0.003,0.160,0,0,66.653,34.400,1,0.327,0.000,0,4.027,35.781,0.000,0.156,0.192
"(708, 9, '0')",0.006,22.991,22.538,1.270,0.000,0.078,0,0,66.653,34.400,1,0.082,0.000,0,,,0.000,0.056,0.105
"(319, 9, '0')",0.052,8.078,7.592,1.090,0.003,0.207,0,0,66.653,34.400,1,0.253,0.000,0,0.935,5.489,0.000,0.144,0.000
"(708, 738, '0')",0.056,21.748,21.353,4.311,0.003,0.209,0,0,66.653,34.400,2,0.269,0.000,0,4.890,19.651,0.000,0.202,0.123
"(708, 733, '0')",0.052,26.098,24.764,4.403,0.003,0.176,0,0,66.653,34.400,2,0.294,0.000,0,4.338,23.075,0.000,0.178,0.199
"(1556, 1731, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,39.750,29.900,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(160, 95, '0')",0.028,42.875,41.800,5.414,0.001,0.132,0,0,66.653,34.400,0,0.215,0.000,0,6.051,40.493,0.000,0.130,0.314
"(2, 43, '0')",0.030,65.244,67.160,2.617,0.001,0.041,2,0,14.243,24.900,7,0.729,0.000,0,3.233,62.810,0.000,0.039,0.229
"(99, 43, '0')",0.030,65.244,67.160,2.617,0.001,0.041,2,0,21.600,26.000,7,0.729,0.000,0,3.233,62.810,0.000,0.039,0.210
"(369, 164, '0')",0.012,64.001,66.836,2.191,0.000,0.040,0,0,20.750,29.300,3,0.301,0.000,0,2.977,62.551,0.000,0.033,0.035
"(669, 164, '0')",0.012,64.001,66.836,2.191,0.000,0.040,0,0,20.750,29.300,3,0.301,0.000,0,2.977,62.551,0.000,0.033,0.210
"(3, 38, '0')",0.000,55.000,55.000,0.000,0.000,0.000,0,0,17.434,24.500,0,0.089,0.000,0,0.000,55.000,0.000,0.000,0.089
"(3, 19, '0')",0.010,65.244,66.636,2.427,0.000,0.052,0,0,17.434,24.500,0,0.197,0.000,0,1.821,64.273,0.000,0.036,0.167
"(4, 465, '0')",0.032,27.962,26.946,4.317,0.001,0.159,0,0,42.500,36.500,2,0.200,0.000,0,2.547,26.285,0.000,0.160,0.537
"(361, 412, '0')",0.012,64.001,66.713,2.346,0.000,0.046,0,0,20.750,29.300,3,0.262,0.000,0,2.799,62.487,0.000,0.035,0.021
"(205, 412, '0')",0.012,64.001,66.713,2.346,0.000,0.046,0,0,20.750,29.300,3,0.262,0.000,0,2.799,62.487,0.000,0.035,0.286
"(473, 4, '0')",0.028,65.244,66.687,2.747,0.001,0.049,0,1,42.500,36.500,5,0.586,0.000,0,2.030,64.299,0.000,0.041,0.156
"(252, 4, '0')",0.017,65.865,66.623,3.299,0.000,0.070,0,0,42.205,21.100,0,0.238,0.000,0,2.186,64.474,0.000,0.050,0.519
"(5, 519, '0')",0.103,21.748,24.434,7.713,0.011,0.288,0,1,45.536,33.100,3,0.359,0.000,0,4.042,20.091,0.000,0.316,0.019
"(5, 35, '0')",0.103,21.748,24.434,7.713,0.011,0.288,0,1,45.536,33.100,3,0.359,0.000,0,4.042,20.091,0.000,0.316,0.017
"(91, 35, '0')",0.005,31.690,32.952,4.716,0.000,0.158,0,0,45.536,33.100,1,0.029,0.000,0,4.090,30.085,0.000,0.143,0.156
"(510, 35, '0')",0.075,34.797,34.104,8.074,0.006,0.273,1,0,45.536,33.100,2,0.276,0.000,0,5.981,31.916,0.000,0.237,0.056
"(6, 539, '0')",0.059,24.855,25.263,3.719,0.003,0.149,0,0,36.974,29.000,3,0.397,0.000,0,4.241,22.531,0.000,0.147,0.216
"(166, 539, '0')",0.066,19.884,20.466,4.867,0.004,0.232,0,0,36.974,29.000,4,0.285,0.000,0,2.991,17.987,0.000,0.238,0.132
"(557, 539, '0')",0.102,19.884,25.392,4.307,0.010,0.207,1,0,36.974,29.000,1,0.495,0.000,0,5.483,19.955,0.000,0.170,0.256
"(6, 17, '0')",0.119,19.884,20.466,4.867,0.014,0.225,0,0,36.974,29.000,3,0.527,0.000,0,2.991,17.987,0.000,0.238,0.209
"(213, 17, '0')",0.036,29.826,32.331,4.871,0.001,0.151,0,0,67.240,34.200,2,0.239,0.000,0,4.106,28.311,0.000,0.151,0.223
"(830, 17, '0')",0.005,26.719,26.564,4.260,0.000,0.205,0,0,67.240,34.200,1,0.024,0.000,0,3.127,25.127,0.000,0.160,0.178
"(865, 17, '0')",0.065,26.719,27.891,3.426,0.004,0.121,0,1,67.240,34.200,2,0.535,0.000,0,4.147,25.185,0.000,0.123,0.129
