id,type,x,y,key
1, FWJCT,2915,18009,0
2, FWJCT,8229,53731,1
3, FWJCT,8330,53898,2
4, FWJCT,6017,49262,3
5, FWJCT,4654,46478,4
6, FWJCT,4664,34284,5
7, FWJCT,5241,29005,6
8, FWJCT,4096,16907,7
9, FWJCT,5299,54376,8
10, FWJCT,4697,17164,9
11, FWJCT,2667,19133,10
12, FWJCT,10161,49777,11
13, FWJCT,7537,54058,12
14, FWJCT,7707,54627,13
15, FWJCT,7355,57837,14
16, FWJCT,7411,57551,15
17, FWJCT,6006,34257,16
18, FWJCT,5699,28994,17
19, FWJCT,4049,34256,18
20, FWJCT,6477,49560,19
21, FWJCT,2794,24391,20
22, FWJCT,18781,53215,21
23, FWJCT,7519,55971,22
24, FWJCT,3779,17177,23
25, FWJCT,7606,50554,24
26, FWJCT,7234,50070,25
27, FWJCT,4663,39520,26
28, FWJCT,7736,50063,27
29, DMOND,10161,49777,28
30, FWJCT,8421,50066,29
31, FWJCT,5854,63567,30
32, FWJCT,3383,25214,31
33, FWJCT,4365,23072,32
34, FWJCT,3975,29011,33
35, FWJCT,3753,34258,34
36, FWJCT,4864,34279,35
37, FWJCT,4924,39528,36
38, FWJCT,4314,39527,37
39, FWJCT,6121,49462,38
40, FWJCT,6323,49842,39
41, FWJCT,5261,39517,40
42, FWJCT,4693,28487,41
43, DMOND,18781,53215,42
44, FWJCT,9469,53653,43
45, FWJCT,14701,53468,44
46, FWJCT,4589,25294,45
47, FWJCT,4635,24013,46
48, FWJCT,4610,20865,47
49, FWJCT,3988,18336,48
50, FWJCT,4565,19886,49
51, FWJCT,4473,19680,50
52, FWJCT,3367,17284,51
53, FWJCT,7570,51964,52
54, FWJCT,7326,28773,53
55, FWJCT,5975,25038,54
56, FWJCT,3143,17700,55
57, FWJCT,2921,18068,56
59, FWJCT,3314,17521,57
60, FWJCT,5472,25038,58
61, FWJCT,3252,31470,59
62, FWJCT,3243,31816,60
63, FWJCT,2953,16105,61
65, FWJCT,3624,17317,62
66, FWJCT,4362,45990,63
67, FWJCT,3934,18366,64
68, FWJCT,7866,53745,65
69, FWJCT,2487,18480,66
70, FWJCT,4357,46386,67
71, FWJCT,7434,54839,68
72, FWJCT,5656,79730,69
73, FWJCT,3220,18063,70
74, FWJCT,4384,47271,71
75, FWJCT,4384,47739,72
76, FWJCT,6043,51423,73
77, FWJCT,2661,29017,74
78, FWJCT,4204,18908,75
79, FWJCT,7515,56820,76
80, FWJCT,7525,55056,77
81, FWJCT,5566,71480,78
82, FWJCT,5749,49948,79
83, DMOND,7326,28773,80
84, FWJCT,5571,51427,81
85, FWJCT,3644,16684,82
86, FWJCT,5712,81218,83
87, FWJCT,5639,69320,84
88, FWJCT,6232,54178,85
89, FWJCT,5308,54411,86
90, FWJCT,16766,53153,87
91, DMDND,5712,81218,88
92, FWJCT,4702,56502,89
93, FWJCT,4702,57088,90
94, FWJCT,5204,34269,91
95, FWJCT,4273,36734,92
96, FWJCT,3026,16814,93
97, FWJCT,4272,37081,94
98, FWJCT,4011,17652,95
99, FWJCT,718,34502,96
100, FWJCT,4555,39537,97
101, FWJCT,15568,53433,98
102, FWJCT,8724,53744,99
103, FWJCT,6653,62475,100
104, FWJCT,7323,58262,101
105, FWJCT,5520,76645,102
106, FWJCT,5481,71882,103
107, DMOND,718,34502,104
108, FWJCT,3985,16970,105
109, FWJCT,4204,23715,106
110, FWJCT,3860,23715,107
111, FWJCT,19124,53576,108
112, FWJCT,1528,29170,109
114, FWJCT,4456,23708,110
115, FWJCT,7475,34132,111
116, FWJCT,5818,38197,112
117, FWJCT,5378,38200,113
118, FWJCT,7183,52473,114
119, FWJCT,4511,24803,115
120, FWJCT,3446,52201,116
121, FWJCT,2956,52198,117
122, FWJCT,5024,23727,118
123, FWJCT,4769,23752,119
125, FWJCT,7183,52988,120
126, FWJCT,4999,58256,121
127, FWJCT,4733,58513,122
128, FWJCT,8789,51415,123
129, FWJCT,5353,23691,124
130, FWJCT,8184,51413,125
131, FWJCT,3220,37556,126
132, FWJCT,4848,24778,127
134, FWJCT,5755,23704,128
135, FWJCT,3084,23785,129
136, FWJCT,4185,34251,130
137, FWJCT,4598,23652,131
138, FWJCT,4626,25292,132
139, FWJCT,5580,67959,133
140, FWJCT,12426,53505,134
141, FWJCT,6857,50387,135
142, FWJCT,7392,60649,136
143, FWJCT,2651,37556,137
144, FWJCT,7939,55121,138
145, FWJCT,3896,58330,139
146, FWJCT,7939,55550,140
147, FWJCT,785,24008,141
148, FWJCT,2692,15040,142
149, FWJCT,2753,15039,143
151, FWJCT,3528,17541,144
153, FWJCT,4647,20504,145
154, FWJCT,4261,18887,146
155, FWJCT,3529,18124,147
156, FWJCT,5792,81195,148
157, FWJCT,4647,20865,149
158, FWJCT,4603,22114,150
159, FWJCT,4578,27412,151
160, FWJCT,4557,28158,152
161, FWJCT,4622,26126,153
162, FWJCT,4493,29788,154
163, FWJCT,4447,32985,155
164, FWJCT,4615,27412,156
165, FWJCT,5757,23384,157
166, FWJCT,3607,23727,158
167, FWJCT,6272,23740,159
168, FWJCT,4160,18184,160
169, FWJCT,7259,53984,161
170, FWJCT,7539,51503,162
171, FWJCT,1626,39549,163
172, FWJCT,6440,62831,164
173, FWJCT,7555,55970,165
174, FWJCT,4509,29043,166
175, FWJCT,16781,53532,167
176, FWJCT,8719,53708,168
177, FWJCT,13862,53451,169
178, FWJCT,9468,53617,170
179, FWJCT,15201,53358,171
180, FWJCT,10734,53569,172
181, FWJCT,16105,53535,173
182, FWJCT,13707,53505,174
183, DMDND,19124,53576,175
184, DMOND,1528,29170,176
185, FWJCT,15114,53488,177
186, FWJCT,7459,57553,178
187, FWJCT,10734,53605,179
188, FWJCT,7561,55056,180
189, FWJCT,5693,80645,181
190, FWJCT,7271,54019,182
191, FWJCT,12424,53554,183
192, FWJCT,18662,53514,184
193, FWJCT,17657,53477,185
194, FWJCT,18341,53492,186
195, FWJCT,18382,53188,187
196, FWJCT,17182,53150,188
197, FWJCT,6240,54214,189
198, FWJCT,5608,78799,190
199, FWJCT,15639,53293,191
200, FWJCT,15887,53228,192
201, FWJCT,6761,63763,193
202, FWJCT,5169,62876,194
203, FWJCT,5376,73128,195
