tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
1	2	25900.20064	6.0	6.0	20.40010857811663	2714.4264412323837
1	3	23403.47319	4.0	4.0	17.20571090829135	7310.023911293796
2	1	25900.20064	6.0	6.0	26.400306008394594	3517.028083525626
2	6	4958.180928	5.0	5.0	26.098038053597232	4869.976094129608
3	1	23403.47319	4.0	4.0	24.4035864596789	6507.422269000554
3	4	17110.52372	4.0	4.0	11.396421075754626	12942.629269933585
3	12	23403.47319	4.0	4.0	17.20398763582435	6682.229283732947
4	3	17110.52372	4.0	4.0	12.540177391788404	11895.836427067657
4	5	17782.7941	2.0	2.0	11.99847241371726	16037.797447112964
4	11	4908.82673	6.0	6.0	17.77789256951076	6832.482589966723
5	4	17782.7941	2.0	2.0	11.908121358649645	13778.361019325752
5	6	4947.995469	4.0	4.0	18.846771134151663	7660.27908502221
5	9	10000.0	5.0	5.0	17.101321565572356	15651.994764148547
6	2	4958.180928	5.0	5.0	25.484971827363537	5672.577736422849
6	5	4947.995469	4.0	4.0	27.489828911345384	8090.986445619764
6	8	4898.587646	2.0	2.0	27.41358195121377	8996.905370907645
7	8	7841.81131	3.0	3.0	25.64254170389565	8572.126863768272
7	18	23403.47319	2.0	2.0	22.40553554011524	8625.613625802553
8	6	4898.587646	2.0	2.0	26.506589866820004	10230.214373798435
8	7	7841.81131	3.0	3.0	17.045756638268635	10115.132176359568
8	9	5050.193156	10.0	10.0	34.94152464615132	8753.909760183731
8	16	5045.822583	5.0	5.0	26.563945974087495	6991.156880599063
9	5	10000.0	5.0	5.0	20.117041440975555	12961.85097576378
9	8	5050.193156	10.0	10.0	29.893625584564855	8613.53842132055
9	10	13915.78842	3.0	3.0	17.62609008607138	26838.518482432723
10	9	13915.78842	3.0	3.0	15.451221682660117	24104.67002185146
10	11	10000.0	5.0	5.0	27.195807403124167	19478.184095323064
10	15	13512.00155	6.0	6.0	26.762330436093283	26816.28033202249
10	16	4854.917717	4.0	4.0	34.86175068893899	11111.253759177107
10	17	4993.510694	8.0	8.0	29.731189153483115	8201.230572917466
11	4	4908.82673	6.0	6.0	21.211015843226843	8141.7928415546785
11	10	10000.0	5.0	5.0	31.22311899228606	17238.533754457138
11	12	4908.82673	6.0	6.0	33.89182385291437	9799.163165707045
11	14	4876.508287	4.0	4.0	26.477834255015747	11025.357264126935
12	3	23403.47319	4.0	4.0	23.60460325896191	6926.4204843056295
12	11	4908.82673	6.0	6.0	27.639515704499253	9755.625207285777
12	13	25900.20064	3.0	3.0	25.012849509479853	10646.862301426389
13	12	25900.20064	3.0	3.0	23.414346080391816	10944.182210244468
13	24	5091.256152	4.0	4.0	20.691579212773707	9816.26894873205
14	11	4876.508287	4.0	4.0	28.844059542657455	10235.221799936904
14	15	5127.526119	5.0	5.0	31.31172100085076	10236.139446254785
14	23	4924.790605	4.0	4.0	20.00670734890932	9639.47426572638
15	10	13512.00155	6.0	6.0	26.94442539238806	25346.819918123885
15	14	5127.526119	5.0	5.0	25.345431195653823	10491.46834322952
15	19	14564.75315	3.0	3.0	23.83518722593172	14443.386558018448
15	22	9599.180565	3.0	3.0	21.50650216307408	19652.92202777011
16	8	5045.822583	5.0	5.0	24.549354947481994	9907.842534944322
16	10	4854.917717	4.0	4.0	42.70776147883325	11152.535845228977
16	17	5229.910063	2.0	2.0	17.939185587314746	11709.679689124383
16	18	19679.89671	3.0	3.0	25.01016412086129	7629.343018697176
17	10	4993.510694	8.0	8.0	28.08104913865776	9038.544114382175
17	16	5229.910063	2.0	2.0	13.894923853595177	9662.1402310649
17	19	4823.950831	2.0	2.0	26.016642456220133	12566.7561699488
18	7	23403.47319	2.0	2.0	15.002516360733342	7082.6083132112535
18	16	19679.89671	3.0	3.0	16.676454252461284	12634.8502171538
18	20	23403.47319	4.0	4.0	26.027027839680404	10781.90087025419
19	15	14564.75315	3.0	3.0	23.571877446645498	11449.97987378016
19	17	4823.950831	2.0	2.0	24.214937910933	11356.530253354022
19	20	5002.607563	4.0	4.0	19.953422768971272	9886.771639957957
20	18	23403.47319	4.0	4.0	17.080126799413588	14147.736089452856
20	19	5002.607563	4.0	4.0	26.999352340932273	5683.139039124895
20	21	5059.91234	6.0	6.0	23.965522920080147	7138.602073396712
20	22	5075.697193	5.0	5.0	28.947293617248626	10265.21156012497
21	20	5059.91234	6.0	6.0	22.10139641559659	7649.606292836332
21	22	5229.910063	2.0	2.0	18.34976362788239	8350.440732730744
21	24	4885.357564	3.0	3.0	22.11574861570126	9141.01335338932
22	15	9599.180565	3.0	3.0	20.78220776475495	21335.530528417865
22	20	5075.697193	5.0	5.0	23.237576879912368	8819.743292384283
22	21	5229.910063	2.0	2.0	10.610542884459862	7701.236853811138
22	23	5000.0	4.0	4.0	23.179506081747714	10293.946509919913
23	14	4924.790605	4.0	4.0	22.763954518351778	8594.009904561615
23	22	5000.0	4.0	4.0	32.354403258675276	9881.882863907365
23	24	5078.508436	2.0	2.0	10.077909395122095	7295.933725097068
24	13	5091.256152	4.0	4.0	28.990599671091424	10016.922190883459
24	21	4885.357564	3.0	3.0	31.49573804121953	10301.221451748552
24	23	5078.508436	2.0	2.0	18.524026955528033	5838.405717919758
