tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
1	2	25900.20064	6.0	6.0	600069.3994038432	4316.000000000003
1	3	23403.47319	4.0	4.0	400780.9756495182	7904.999999999998
2	1	25900.20064	6.0	6.0	600071.8099566193	4353.000000000002
2	6	4958.180928	5.0	5.0	653251.4390810704	5928.000000000001
3	1	23403.47319	4.0	4.0	400766.45630454406	7868.000000000002
3	4	17110.52372	4.0	4.0	425218.3503176737	13776.999999999996
3	12	23403.47319	4.0	4.0	401901.0891684435	9873.999999999996
4	3	17110.52372	4.0	4.0	425262.3102438844	13783.000000000002
4	5	17782.7941	2.0	2.0	230228.0981356626	17816.50000000001
4	11	4908.82673	6.0	6.0	717170.0964995025	5243.500000000003
5	4	17782.7941	2.0	2.0	230418.56968324477	17844.49999999999
5	6	4947.995469	4.0	4.0	1003165.2315948292	8810.500000000004
5	9	10000.0	5.0	5.0	943725.2772692498	15595.999999999998
6	2	4958.180928	5.0	5.0	657113.5253447319	5965.0
6	5	4947.995469	4.0	4.0	1000704.4518981203	8801.500000000005
6	8	4898.587646	2.0	2.0	1425212.325439885	12383.499999999998
7	8	7841.81131	3.0	3.0	544585.9104707389	11973.500000000004
7	18	23403.47319	2.0	2.0	205777.22144427014	15503.500000000004
8	6	4898.587646	2.0	2.0	1436331.1441837691	12411.500000000005
8	7	7841.81131	3.0	3.0	542874.5287448047	11952.500000000005
8	9	5050.193156	10.0	10.0	1486417.560809144	6777.0000000000055
8	16	5045.822583	5.0	5.0	1047770.8537554537	8295.000000000002
9	5	10000.0	5.0	5.0	947951.0665242109	15633.000000000004
9	8	5050.193156	10.0	10.0	1474471.0328589312	6735.000000000001
9	10	13915.78842	3.0	3.0	562619.5231387669	21629.000000000015
10	9	13915.78842	3.0	3.0	567214.7669587455	21722.999999999993
10	11	10000.0	5.0	5.0	1213683.282117392	17563.50000000001
10	15	13512.00155	6.0	6.0	1343099.5983661506	22904.50000000002
10	16	4854.917717	4.0	4.0	1965189.5917169184	10971.999999999998
10	17	4993.510694	8.0	8.0	1600456.0163576868	8025.000000000002
11	4	4908.82673	6.0	6.0	724205.689011316	5320.500000000001
11	10	10000.0	5.0	5.0	1197088.5792328864	17460.500000000004
11	12	4908.82673	6.0	6.0	1347014.0038100337	8332.0
11	14	4876.508287	4.0	4.0	1349407.033958907	9725.999999999995
12	3	23403.47319	4.0	4.0	401868.18886969815	9830.999999999996
12	11	4908.82673	6.0	6.0	1358193.549725223	8363.000000000004
12	13	25900.20064	3.0	3.0	302246.7326574184	12243.0
13	12	25900.20064	3.0	3.0	302311.2786439185	12330.000000000007
13	24	5091.256152	4.0	4.0	1728005.114318531	11043.000000000005
14	11	4876.508287	4.0	4.0	1365912.9480325996	9767.999999999998
14	15	5127.526119	5.0	5.0	1200703.0767425152	8964.5
14	23	4924.790605	4.0	4.0	893596.6245893083	8340.517584755902
15	10	13512.00155	6.0	6.0	1352094.5176911247	22973.50000000002
15	14	5127.526119	5.0	5.0	1216472.7862055842	9014.5175847559
15	19	14564.75315	3.0	3.0	426871.4080395355	18873.000000000015
15	22	9599.180565	3.0	3.0	899877.5735091649	18342.000000000025
16	8	5045.822583	5.0	5.0	1060829.1006229722	8344.000000000002
16	10	4854.917717	4.0	4.0	1983529.222927702	11003.999999999998
16	17	5229.910063	2.0	2.0	928573.2999800841	11610.000000000007
16	18	19679.89671	3.0	3.0	315293.0025156426	15025.982415244107
17	10	4993.510694	8.0	8.0	1599259.7437978806	8022.000000000001
17	16	5229.910063	2.0	2.0	927314.7537319442	11604.982935600267
17	19	4823.950831	2.0	2.0	738003.2873919047	9927.017584755898
18	7	23403.47319	2.0	2.0	205808.5868454355	15524.500000000005
18	16	19679.89671	3.0	3.0	315646.2035093482	15111.999479643842
18	20	23403.47319	4.0	4.0	424997.1652156245	18802.482415244125
19	15	14564.75315	3.0	3.0	427869.7249369493	18910.017584755915
19	17	4823.950831	2.0	2.0	736267.4247298817	9919.000520356163
19	20	5002.607563	4.0	4.0	936079.2445700341	8648.999479643837
20	18	23403.47319	4.0	4.0	425039.8259853368	18810.499479643833
20	19	5002.607563	4.0	4.0	943305.4883327258	8678.0
20	21	5059.91234	6.0	6.0	809500.8161187192	6249.982415244109
20	22	5075.697193	5.0	5.0	772788.8430298442	7009.500000000004
21	20	5059.91234	6.0	6.0	802356.0408593543	6196.000000000002
21	22	5229.910063	2.0	2.0	419146.2965817497	8597.999999999998
21	24	4885.357564	3.0	3.0	1155786.386579898	10201.982415244105
22	15	9599.180565	3.0	3.0	897656.7143155849	18324.999999999996
22	20	5075.697193	5.0	5.0	771545.6287907284	7001.500000000003
22	21	5229.910063	2.0	2.0	417316.9114116229	8580.000000000004
22	23	5000.0	4.0	4.0	1196680.0871583195	9544.500000000007
23	14	4924.790605	4.0	4.0	891701.4184225852	8332.5
23	22	5000.0	4.0	4.0	1182419.9649763156	9501.50000000001
23	24	5078.508436	2.0	2.0	369176.4157443478	7826.017584755898
24	13	5091.256152	4.0	4.0	1722242.1497131237	11031.000000000002
24	21	4885.357564	3.0	3.0	1143776.6689604458	10165.999999999996
24	23	5078.508436	2.0	2.0	364807.9406478817	7775.000000000003
