stage,iter,theta_tt,theta_reliable_speed,theta_incident,theta_bus_stop,theta_intersection,theta_low_inc,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,0.000,0.000,0.000,320729222.111,18289,0,0,
norefined,2,-0.205,0.000,-0.269,0.000,-0.101,-0.071,204773818.951,18289,2271,283,
norefined,3,-0.278,0.000,-0.431,-0.049,0.000,0.000,200026082.359,18289,2668,312,
norefined,4,-0.467,0.000,-0.436,-0.294,-0.059,-0.284,199524422.185,18289,2569,301,
norefined,5,-0.508,0.000,-0.473,-0.383,0.000,-0.206,197187610.418,18289,2584,337,
norefined,6,-0.540,0.000,-0.490,-0.380,0.000,-0.184,197701329.111,18289,2598,333,
norefined,7,-0.569,0.000,-0.457,-0.384,0.000,-0.187,197996004.547,18289,2577,313,
norefined,8,-0.606,0.000,-0.468,-0.347,0.000,-0.199,198183518.433,18289,2572,343,
norefined,9,-0.634,0.000,-0.419,-0.361,0.000,-0.218,198185128.080,18289,2610,307,
norefined,10,-0.676,0.000,-0.438,-0.347,0.000,-0.236,198058647.980,18289,0,0,
refined,11,-0.508,,-0.473,-0.383,,-0.206,198638809.035,18289,0,0,
refined,12,-0.706,,-0.425,-0.358,,-0.194,198893487.168,18289,2259,240,
refined,13,-1.160,,-0.050,0.000,,0.000,194967490.291,18289,2545,284,
refined,14,-1.579,,-0.048,0.000,,0.000,193862623.939,18289,2508,286,
refined,15,-2.211,,0.000,0.000,,0.000,194655128.586,18289,2516,311,
refined,16,-2.732,,0.000,0.000,,0.000,194454329.718,18289,2539,342,
refined,17,-3.146,,0.000,0.000,,0.000,193754388.994,18289,2522,326,
refined,18,-3.388,,0.000,0.000,,0.000,193232166.309,18289,2507,332,
refined,19,-3.861,,0.000,0.000,,0.000,192662933.998,18289,2536,354,
refined,20,-4.166,,0.000,0.000,,0.000,192367127.019,18289,0,0,
