link_type,alpha,beta,tf,k,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,id,rhoj,lane,ff_speed,length,inrix_id.1,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix,free_flow_speed,tt_sd_adj,speed_sd_length,speed_reliability,tt_avg_adj,median_inc_length,no_incidents,incident,no_bus_stops,bus_stop,no_intersections,intersection,low_inc,high_inc,reliable_tt,unreliable_tt,reliable_speed,unreliable_speed
LWRLK,0.150,4.000,0.098,1800.000,0,,1800.000,0.098,45,1626615977.000,[],1,200.000,5,45,0.073,1626615977.000,0.208,0.321,0.235,0.458,20.505,0.149,0.218,0.166,0.000,0.142,0.021,0.218,0.000,0.810,0.471,0.000,0.000,0.111,0.214,0.341,0.067,0.021,0.609,0.005,0.045,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.169,1800.000,0,,1800.000,0.169,50,1626615885.000,[],2,200.000,2,50,0.141,1626615885.000,0.650,0.587,0.566,0.285,54.681,0.366,0.222,0.837,0.000,0.077,0.005,0.222,0.000,0.575,0.521,0.000,0.000,0.000,0.155,0.910,0.049,0.098,0.801,0.003,0.062,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.396,2400.000,0,,2400.000,0.396,65,,[],160,200.000,2,65,0.429,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.050,0.000,0.000,0.396,1.083,0.000,0.000,0.000,0.187,0.187,0,1,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.192,2000.000,0,,2000.000,0.192,25,1626615921.000,[],25,180.000,1,25,0.080,1626615921.000,0.468,0.486,0.451,0.215,40.389,0.219,0.167,0.110,0.000,0.044,0.003,0.167,0.000,0.575,0.521,0.000,0.000,0.111,0.119,0.672,0.028,0.033,0.770,0.002,0.035,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.105,1800.000,0,,1800.000,0.105,35,170250231.000,[],3,180.000,2,35,0.061,170250231.000,0.319,0.339,,0.059,22.991,0.168,,,0.000,0.023,0.000,,0.000,0.575,0.521,0.000,0.000,0.111,0.159,0.384,,0.019,,0.003,0.027,1,0,1,0,0,1,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],24,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.123,1800.000,0,,1800.000,0.123,45,441459740.000,[],1633,200.000,2,45,0.092,441459740.000,0.244,0.321,0.233,0.375,23.612,0.209,0.309,0.269,0.000,0.139,0.019,0.309,0.000,0.575,0.521,0.000,0.000,0.111,0.234,0.393,0.103,0.036,0.604,0.005,0.040,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.199,1800.000,0,,1800.000,0.199,45,441459739.000,[],1636,200.000,2,45,0.149,441459739.000,0.292,0.385,0.280,0.244,23.612,0.113,0.139,0.161,0.000,0.043,0.003,0.139,0.000,0.575,0.521,0.000,0.000,0.222,0.379,0.393,0.075,0.032,0.605,0.007,0.065,1,0,1,0,0,1,0,1,0,1,1,0
DMDLK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],4,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.314,1800.000,0,,1800.000,0.314,35,1626615745.000,[],5,180.000,2,35,0.183,1626615745.000,0.604,0.633,0.614,0.149,53.438,0.339,0.190,0.199,0.000,0.038,0.003,0.190,0.000,0.575,0.521,0.000,0.000,0.000,0.205,0.893,0.056,0.117,0.806,0.004,0.080,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.229,1800.000,1,1998.000,1800.000,0.229,60,1626704648.000,[601346],6,200.000,1,60,0.229,1626704648.000,0.985,0.963,0.949,0.501,72.079,0.106,0.039,0.470,0.000,0.026,0.000,0.039,0.000,0.123,0.377,0.125,0.000,0.222,0.191,1.199,0.011,0.046,0.819,0.003,0.021,0,1,1,0,0,1,1,0,0,1,1,0
LWRLK,0.150,4.000,0.210,2400.000,1,2983.000,2400.000,0.210,65,1626704648.000,[601346],242,200.000,3,65,0.228,1626704648.000,0.985,0.963,0.949,0.501,72.079,0.106,0.039,0.470,0.000,0.026,0.000,0.039,0.000,0.186,0.394,0.075,0.000,0.000,0.190,1.200,0.011,0.046,0.819,0.003,0.032,0,1,1,0,1,0,1,0,0,1,1,0
LWRLK,0.150,4.000,0.035,1800.000,1,2842.000,1800.000,0.035,60,1626729452.000,[601209],7,180.000,1,60,0.035,1626729452.000,0.962,0.945,0.950,0.212,72.079,0.121,0.044,0.269,0.000,0.015,0.000,0.044,0.000,0.179,0.444,0.000,0.000,0.000,0.029,1.207,0.002,0.008,0.835,0.001,0.005,1,0,1,0,1,0,1,0,0,1,1,0
LWRLK,0.150,4.000,0.210,2400.000,1,2567.000,2400.000,0.210,65,1626729452.000,[601209],1552,200.000,3,65,0.227,1626729452.000,0.962,0.945,0.950,0.212,72.079,0.121,0.044,0.269,0.000,0.015,0.000,0.044,0.000,0.179,0.444,0.000,0.000,0.000,0.189,1.201,0.012,0.052,0.835,0.003,0.031,1,0,1,0,1,0,1,0,0,1,1,0
LWRLK,0.150,4.000,0.089,1800.000,1,1829.500,1800.000,0.089,55,,"[601411, 602411]",8,200.000,1,55,0.082,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.371,0.000,0.000,0.000,0.089,0.921,0.000,0.000,0.000,0.042,0.009,1,0,1,0,1,0,1,0,0,1,0,1
LWRLK,0.150,4.000,0.167,2400.000,1,4675.000,2400.000,0.167,60,,[601411],9,200.000,3,60,0.167,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.371,0.000,0.000,0.000,0.167,1.000,0.000,0.000,0.000,0.079,0.019,1,0,1,0,1,0,1,0,0,1,0,1
LWRLK,0.150,4.000,0.537,2400.000,0,,2400.000,0.537,60,441671213.000,[],10,200.000,3,60,0.537,441671213.000,0.384,0.413,0.386,0.139,36.040,0.256,0.227,0.179,0.000,0.043,0.003,0.227,0.000,0.367,0.553,0.000,0.250,0.111,0.894,0.601,0.290,0.260,0.778,0.020,0.150,1,0,0,1,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.021,1800.000,1,1058.000,1800.000,0.021,55,400421634.000,[602210],11,180.000,1,55,0.019,400421634.000,0.966,0.945,0.949,0.181,72.079,0.123,0.044,0.291,0.000,0.016,0.000,0.044,0.000,0.179,0.444,0.000,0.000,0.000,0.016,1.188,0.001,0.004,0.835,0.000,0.003,1,0,1,0,1,0,1,0,0,1,1,0
LWRLK,0.150,4.000,0.286,2400.000,1,1058.000,2400.000,0.286,65,400421634.000,[602210],489,200.000,3,65,0.310,400421634.000,0.966,0.945,0.949,0.181,72.079,0.123,0.044,0.291,0.000,0.016,0.000,0.044,0.000,0.179,0.444,0.175,0.000,0.222,0.258,1.202,0.016,0.072,0.835,0.005,0.042,0,1,1,0,0,1,1,0,0,1,1,0
