stage,iter,theta_tt,theta_speed_sd,theta_incidents,theta_median_inc_length,theta_bus_stops,theta_intersections,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,0.000,0.000,0.000,315655623.691,18289,0,0,
norefined,2,-0.432,-0.182,-0.142,-0.028,0.000,-0.087,207312598.241,18289,2226,327,
norefined,3,-0.680,-0.390,-0.468,-0.079,0.000,-0.253,198687241.526,18289,2571,253,
norefined,4,-0.724,-0.006,-0.772,-0.088,0.000,-0.175,186264011.887,18289,2540,257,
norefined,5,-0.731,0.000,-1.229,-0.109,0.000,-0.254,181667877.220,18289,2549,301,
norefined,6,-0.598,0.000,-1.394,-0.090,0.000,-0.114,179953819.259,18289,2570,385,
norefined,7,-0.682,0.000,-1.806,-0.127,-0.122,-0.283,177771312.420,18289,2547,319,
norefined,8,-0.569,0.000,-1.880,-0.109,-0.175,-0.109,177015613.832,18289,2530,365,
norefined,9,-0.801,0.000,-2.063,-0.172,-0.451,-0.203,176635253.618,18289,2564,330,
norefined,10,-0.646,0.000,-2.126,-0.147,-0.450,-0.048,175807755.306,18289,0,0,
refined,11,-0.646,,-2.126,,-0.450,-0.048,175863471.567,18289,0,0,
refined,12,-0.625,,-4.013,,-1.448,0.000,176169399.988,18289,2250,293,
refined,13,-0.802,,-2.947,,-1.012,-0.085,173393231.801,18289,2559,277,
refined,14,-0.998,,-2.642,,-1.000,-0.101,172779411.826,18289,2532,245,
refined,15,-1.145,,-2.783,,-1.426,-0.186,172041194.814,18289,2559,214,
refined,16,-1.473,,-3.240,,-2.251,-0.583,169128763.606,18289,2574,366,
refined,17,-2.371,,-4.652,,-3.915,-1.199,168039641.213,18289,2555,361,
refined,18,-1.317,,-2.783,,-1.932,0.000,172564969.807,18289,2541,308,
refined,19,-1.956,,-3.861,,-2.743,-0.573,168546769.187,18289,2566,292,
refined,20,-2.684,,-4.679,,-3.734,-1.179,168308631.111,18289,0,0,
