stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,458603871.514,13905,0,0,
norefined,2,-0.500,421273908.253,14397,2706,687,
norefined,3,-1.000,375553595.927,14953,3058,778,
norefined,4,-1.500,347095547.502,15505,3036,761,
norefined,5,-2.000,335991456.347,16061,3058,746,
norefined,6,-2.500,324901644.791,16621,3080,738,
norefined,7,-3.000,316829278.467,17177,3058,705,
norefined,8,-3.500,312126486.847,17729,3036,674,
norefined,9,-4.000,305195313.852,18289,3080,674,
norefined,10,-4.500,305236933.189,18289,0,0,
refined,11,-4.000,305195313.852,18289,0,0,
refined,12,-8.565,296291203.765,18289,2214,475,
refined,13,-4.610,296517157.409,18289,2502,378,
refined,14,-3.766,299521303.856,18289,2484,258,
refined,15,-2.846,302455762.217,18289,2502,94,
refined,16,-2.758,302878544.563,18289,2520,44,
refined,17,-2.697,302522709.575,18289,2503,23,
refined,18,-2.436,303218382.335,18289,2484,126,
refined,19,-2.735,303128552.339,18289,2520,131,
refined,20,-2.685,303353449.969,18289,0,0,
