link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(0, 1621, '0')",0,,1090.4,1154.8,1269.5,1467.8,1734.7,2002.0,2228.1,2410.6,2671.6,2885.3,2244.9,3238.3,3422.9,3566.1,3669.4,3737.6,3717.4,3756.1,3702.9,3698.6
"(61, 93, '0')",0,,429.2,488.5,596.9,721.6,825.2,913.3,963.6,951.5,956.7,963.1,957.8,905.3,942.7,979.3,1013.6,1186.0,1088.5,848.6,898.4,916.9
"(61, 51, '0')",0,,1465.8,1406.6,1298.1,1173.5,1069.8,981.7,931.4,943.6,938.3,931.9,937.3,989.7,952.3,915.8,881.4,709.1,806.6,1046.5,996.7,978.2
"(57, 51, '0')",0,,342.7,355.3,376.7,395.7,400.6,415.6,425.1,434.2,453.8,476.0,417.7,594.5,609.8,626.5,673.6,920.3,881.1,330.2,333.9,382.8
"(708, 9, '0')",0,,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8
"(319, 9, '0')",0,,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7
"(708, 738, '0')",0,,860.4,909.8,990.5,1189.1,1476.7,1788.0,2029.7,2174.5,2341.2,2500.1,2060.9,2592.9,2740.2,2833.8,2894.2,3140.1,3007.7,2292.4,2617.1,2841.4
"(708, 733, '0')",0,,450.6,449.7,459.4,466.9,512.5,624.1,726.8,907.0,1044.9,1216.2,782.7,2263.4,2444.0,2504.6,2535.1,2796.7,2881.6,1630.9,1930.5,2179.4
"(1556, 1731, '0')",0,,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1
"(160, 95, '0')",0,,1522.2,1562.3,1605.7,1641.2,1701.5,1744.1,1781.0,1821.0,1865.0,1886.4,1797.0,2301.6,2529.7,2861.6,2934.1,3043.8,3180.1,2574.3,2496.8,2604.7
