stage,iter,theta_tt,theta_reliable_speed,theta_incident,theta_bus_stop,theta_intersection,theta_low_inc,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-8.565,0.000,0.000,0.000,0.000,0.000,298497810.210,18289,0,0,
norefined,2,-8.558,0.000,-0.159,0.000,0.000,0.000,296274332.948,18289,2214,29,
norefined,3,-8.542,0.000,-0.295,0.000,0.000,0.000,296879505.208,18289,2510,161,
norefined,4,-8.530,0.000,-0.423,0.000,0.000,0.000,295014803.932,18289,2499,218,
norefined,5,-8.520,0.000,-0.513,0.000,0.000,0.000,295013301.450,18289,2526,325,
norefined,6,-8.511,0.000,-0.568,0.000,0.000,0.000,295598458.252,18289,2548,354,
norefined,7,-8.504,0.000,-0.620,0.000,0.000,0.000,295777114.640,18289,2530,334,
norefined,8,-8.500,0.000,-0.660,0.000,0.000,0.000,296227062.451,18289,2513,368,
norefined,9,-8.500,0.000,-0.700,0.000,0.000,0.000,296896811.484,18289,2544,342,
norefined,10,-8.499,0.000,-0.727,0.000,0.000,0.000,296924460.243,18289,0,0,
refined,11,-8.520,,-0.513,,,,296777478.137,18289,0,0,
refined,12,-6.403,,-0.461,,,,297563170.055,18289,2215,82,
refined,13,-5.657,,-0.590,,,,297128815.059,18289,2511,135,
refined,14,-5.722,,-0.691,,,,297486755.920,18289,2501,125,
refined,15,-6.065,,-0.788,,,,297706389.324,18289,2522,114,
refined,16,-6.420,,-0.867,,,,297283973.072,18289,2552,122,
refined,17,-9.914,,-1.350,,,,296850906.153,18289,2526,91,
refined,18,-8.861,,-1.271,,,,295572279.413,18289,2511,72,
refined,19,-7.489,,-1.039,,,,296821594.357,18289,2540,83,
refined,20,-7.831,,-1.144,,,,296697286.213,18289,0,0,
