stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,278924806.986,13905,0,0,
norefined,2,-0.500,244627735.399,15441,7296,1700,
norefined,3,-1.000,217387275.257,17105,7904,1782,
norefined,4,-1.500,207026835.355,18777,7942,1728,
norefined,5,-2.000,199893605.068,20449,7942,1734,
norefined,6,-1.500,199995144.462,22113,7904,1732,
norefined,7,-2.000,195518320.633,23793,7980,1731,
norefined,8,-1.500,196293968.683,25450,7867,1719,
norefined,9,-2.000,192568626.917,27130,7980,1736,
norefined,10,-1.500,194898781.109,27130,0,0,
refined,11,-2.000,192568626.917,27130,0,0,
refined,12,-1.654,193670695.482,27130,5760,729,
refined,13,-1.533,194873917.952,27130,6240,264,
refined,14,-1.522,194864289.824,27130,6270,10,
refined,15,-1.517,194594922.265,27130,6270,165,
refined,16,-1.516,194601828.063,27130,6240,7,
refined,17,-1.515,194432551.760,27130,6300,157,
refined,18,-1.516,194425473.311,27130,6210,10,
refined,19,-1.516,194329279.599,27130,6300,118,
refined,20,-1.517,194328404.762,27130,0,0,
