stage,iter,theta_tt,theta_speed_sd,theta_incidents,theta_median_inc,theta_bus_stops,theta_intersections,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,0.000,0.000,0.000,278924806.986,13905,0,0,
norefined,2,-0.347,0.000,-0.216,0.132,0.000,0.000,252636435.181,15441,7296,1850,
norefined,3,-0.694,-0.169,-0.372,0.000,0.000,-0.125,214359880.283,17105,7904,1717,
norefined,4,-0.867,0.000,-0.564,0.149,0.000,-0.129,205005488.672,18777,7942,1863,
norefined,5,-1.122,0.000,-0.810,0.000,0.000,-0.169,185296931.948,20449,7942,1817,
norefined,6,-1.126,0.000,-0.922,0.207,0.000,-0.130,188756302.395,22113,7904,1841,
norefined,7,-1.102,0.000,-1.046,0.279,0.000,-0.077,191848235.497,23793,7980,1958,
norefined,8,-1.078,0.000,-1.176,0.300,0.000,-0.018,192441870.197,25450,7867,1924,
norefined,9,-1.082,0.000,-1.329,0.249,0.000,0.000,184820618.001,27130,7980,1913,
norefined,10,-1.044,0.000,-1.438,0.268,0.000,0.000,186465736.197,27130,0,0,
refined,11,-1.082,,-1.329,0.249,,,184820618.001,27130,0,0,
refined,12,-1.325,,-2.392,0.377,,,176766639.515,27130,5840,817,
refined,13,-1.037,,-1.424,0.312,,,179348703.153,27130,6300,950,
refined,14,-1.135,,-1.594,0.408,,,179383384.164,27130,6354,529,
refined,15,-1.280,,-1.750,0.498,,,180069828.413,27130,6321,831,
refined,16,-1.588,,-2.064,0.681,,,179711824.837,27130,6304,569,
refined,17,-1.904,,-2.409,0.864,,,168917572.694,27130,6358,415,
refined,18,-1.109,,-1.069,0.302,,,181622680.506,27130,6216,66,
refined,19,-1.349,,-1.735,0.537,,,182922591.574,27130,6336,329,
refined,20,-1.722,,-2.164,0.773,,,177554464.267,27130,0,0,
