link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(0, 1621, '0')",0,,1256.6,1525.4,1302.1,1167.7,1093.1,1063.1,1110.6,1069.8,1115.1,1065.3,1065.3,1091.7,1021.2,974.1,974.5,974.7,976.2,976.5,975.7,976.4
"(61, 93, '0')",0,,378.1,509.7,525.3,549.8,531.2,516.3,539.3,523.6,544.2,524.6,524.6,518.9,495.7,471.3,471.1,471.2,471.1,471.3,471.1,471.5
"(61, 51, '0')",0,,1129.6,997.9,982.4,957.9,976.5,991.4,968.3,984.0,963.5,983.1,983.1,988.7,1012.0,1036.3,1036.6,1036.5,1036.6,1036.4,1036.6,1036.2
"(57, 51, '0')",0,,315.3,592.0,485.0,460.1,422.2,405.2,437.3,421.9,452.7,425.4,425.4,544.9,501.0,473.9,474.6,474.7,474.4,474.6,474.1,474.5
"(708, 9, '0')",0,,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6
"(319, 9, '0')",0,,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1
"(708, 738, '0')",0,,695.1,1029.6,1023.6,974.2,938.5,891.6,972.3,927.1,995.7,934.2,934.2,1021.4,965.0,922.2,923.1,923.3,922.1,922.4,921.6,922.3
"(708, 733, '0')",0,,758.8,708.3,596.4,512.4,448.0,407.8,464.2,415.7,467.8,418.7,418.7,470.0,428.7,400.4,401.1,401.2,401.1,401.3,401.0,401.4
"(1556, 1731, '0')",0,,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7
"(160, 95, '0')",0,,1321.4,1614.8,1570.0,1531.3,1515.8,1502.2,1528.2,1515.4,1543.7,1514.7,1514.7,1603.0,1536.0,1496.6,1496.1,1496.3,1498.0,1498.2,1497.5,1498.0
"(2, 43, '0')",1,1998.0,1323.9,1803.6,1560.1,1408.8,1356.7,1351.3,1373.7,1360.0,1380.5,1362.6,1362.6,1579.5,1449.2,1387.5,1387.6,1387.7,1387.0,1387.2,1386.8,1387.2
"(99, 43, '0')",1,2983.0,3148.6,1860.6,2546.3,2923.2,3092.9,3133.5,3067.6,3120.9,3060.8,3118.0,3118.0,2848.0,3004.5,3079.4,3079.1,3078.9,3079.7,3079.5,3080.0,3079.4
"(369, 164, '0')",1,2842.0,290.0,423.0,439.3,440.8,457.6,459.6,494.1,484.4,513.4,490.9,490.9,525.9,510.1,497.2,498.0,498.0,498.0,498.1,498.8,499.0
"(669, 164, '0')",1,2567.0,2774.1,2352.1,2286.7,2320.8,2301.3,2292.2,2238.6,2252.8,2200.6,2240.0,2240.0,2060.8,2105.9,2137.1,2136.6,2136.5,2136.7,2136.6,2134.6,2134.3
"(3, 38, '0')",1,1829.5,1008.2,1002.2,971.7,999.8,986.6,921.7,938.3,917.3,944.0,920.8,920.8,967.7,954.3,923.2,924.0,924.1,926.5,926.6,927.2,927.4
"(3, 19, '0')",1,4675.0,4040.6,3969.6,3866.1,3637.1,3534.9,3516.4,3532.1,3466.1,3482.0,3446.4,3446.4,3507.7,3455.3,3441.7,3441.5,3441.5,3444.6,3444.6,3443.9,3443.8
"(4, 465, '0')",0,,5048.8,4971.8,4837.8,4636.9,4521.4,4438.1,4470.4,4383.4,4426.0,4367.2,4367.2,4475.4,4409.6,4364.8,4365.5,4365.5,4371.1,4371.2,4371.1,4371.2
"(361, 412, '0')",1,1058.0,1343.3,1740.0,1753.9,1678.0,1662.2,1661.9,1692.8,1676.6,1712.9,1683.5,1683.5,1859.2,1808.7,1780.7,1780.5,1780.5,1780.3,1780.4,1781.7,1781.9
"(205, 412, '0')",1,1058.0,3064.0,2775.1,2726.0,2761.6,2758.9,2751.8,2732.7,2737.3,2714.0,2730.9,2730.9,2586.6,2616.0,2634.3,2634.6,2634.5,2634.8,2634.7,2633.4,2633.2
"(473, 4, '0')",1,2307.0,461.5,558.7,823.1,947.9,1058.6,1105.2,1092.4,1146.4,1132.4,1161.6,1161.6,1112.3,1097.5,1096.8,1090.9,1090.9,1096.8,1096.7,1097.4,1097.1
"(252, 4, '0')",1,2346.6,4587.3,4413.1,4014.7,3689.1,3462.8,3332.9,3378.1,3237.0,3293.6,3205.5,3205.5,3363.1,3312.1,3268.1,3274.6,3274.7,3274.3,3274.5,3273.7,3274.1
"(5, 519, '0')",0,,290.5,552.2,534.9,474.2,446.9,463.0,562.0,532.0,591.4,544.0,544.0,649.3,552.0,490.5,493.7,493.8,493.1,493.3,491.9,492.3
"(5, 35, '0')",0,,1331.8,1409.7,1502.0,1541.9,1507.7,1492.4,1569.6,1520.4,1586.0,1529.7,1529.7,1586.1,1516.2,1475.8,1474.8,1474.9,1473.5,1473.6,1473.7,1473.9
"(91, 35, '0')",0,,1379.6,1278.0,1127.3,1015.1,940.3,892.1,985.7,927.2,993.5,930.7,930.7,1231.4,1212.3,1209.1,1209.1,1209.1,1209.4,1209.3,1209.3,1209.2
"(510, 35, '0')",0,,1709.5,2071.1,1816.8,1576.6,1501.2,1499.2,1597.6,1521.5,1617.6,1532.3,1532.3,1631.6,1481.0,1391.7,1407.3,1407.5,1408.9,1409.3,1413.8,1414.6
"(6, 539, '0')",0,,1852.5,1855.5,1588.1,1448.3,1352.0,1311.5,1370.6,1325.6,1379.2,1330.2,1330.2,1403.3,1336.3,1290.0,1288.2,1288.2,1286.3,1286.5,1287.0,1287.3
"(166, 539, '0')",0,,1488.8,1523.9,1277.2,1111.5,1045.4,1011.8,1061.0,1021.0,1065.8,1021.2,1021.2,1141.9,1060.5,1026.9,1018.2,1018.3,1018.5,1018.7,1016.3,1016.6
"(557, 539, '0')",0,,1836.2,2075.4,1995.1,1861.9,1745.2,1695.8,1799.1,1698.7,1799.1,1702.1,1702.1,1987.6,1896.6,1818.4,1822.7,1822.9,1822.2,1822.4,1822.9,1823.4
"(6, 17, '0')",0,,1911.6,1656.3,1437.5,1282.1,1196.4,1169.4,1233.3,1185.9,1238.7,1190.4,1190.4,1382.7,1297.9,1256.8,1256.3,1256.3,1256.0,1256.2,1255.1,1255.5
"(213, 17, '0')",0,,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4,1200.4
"(830, 17, '0')",0,,763.2,1194.4,1026.7,945.7,897.0,870.0,905.6,880.4,924.4,889.3,889.3,894.1,871.2,855.0,853.6,853.7,851.1,851.2,851.9,852.1
"(865, 17, '0')",0,,1364.1,1333.3,1217.6,1165.6,1190.4,1200.3,1188.2,1209.9,1201.8,1211.1,1211.1,1139.4,1106.3,1103.8,1103.9,1104.0,1103.3,1103.3,1103.1,1103.2
