attr,theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
tt,-15.0,4473031592.6,-40016846.3,5230374.3
tt,-14.5,4453454605.0,-38736995.1,-112536.9
tt,-14.0,4433852919.9,-40102720.6,-5305607.4
tt,-13.5,4412931861.6,-43986488.7,-10163508.2
tt,-13.0,4389479133.0,-50192891.0,-14585299.3
tt,-12.5,4362388570.2,-58505268.1,-18625037.9
tt,-12.0,4330638067.7,-68851464.5,-22915609.5
tt,-11.5,4293110250.1,-81817247.2,-29691002.5
tt,-11.0,4248011890.4,-99707362.1,-43215349.9
tt,-10.5,4192116341.4,-124770428.7,-52760186.3
tt,-10.0,4124249526.4,-143197399.3,-12338468.0
tt,-9.5,4052847707.5,-140548062.6,9169900.9
tt,-9.0,3982184474.4,-146188489.4,-38881939.2
tt,-8.5,3901325593.6,-183305859.3,-111016518.1
tt,-8.0,3793130930.6,-253563134.6,-157927841.4
tt,-7.5,3648245037.3,-319426630.5,-80323740.4
tt,-7.0,3484489706.5,-324978611.7,42325482.7
tt,-6.5,3328171526.1,-300341789.8,46409507.6
tt,-6.0,3183508385.0,-280743821.1,9217197.9
tt,-5.5,3034002549.9,-346106681.3,-332819529.5
tt,-5.0,2801021713.7,-608660674.0,-565894121.2
tt,-4.5,2456876933.6,-700841974.2,145194031.7
tt,-4.0,2121539840.6,-639079273.6,247970868.7
tt,-3.5,1852919882.9,-437759768.6,256149833.9
tt,-3.0,1655172912.0,-370204471.3,-20628344.3
tt,-2.5,1422803359.1,-680440118.2,-1452915316.5
tt,-2.0,905939572.3,-1250706855.2,-346353893.5
tt,-1.5,338456479.3,-793295624.5,1433304709.4
tt,-1.0,99488769.9,-55787477.9,2027109067.9
tt,-0.5,618091760.8,2802123614.7,5773771585.7
tt,0.0,2127959264.8,2760397273.0,-977053575.6
tt,0.5,3739393246.6,4092050578.0,-2294632511.9
tt,1.0,5558957877.5,3999739337.1,2404810958.7
tt,1.5,7453740297.7,2827680606.6,-5286416249.7
tt,2.0,8319955524.0,996067877.4,-1383446953.8
tt,2.5,8718263754.6,733281751.5,244929865.6
tt,3.0,9134110203.4,905479518.4,-120110244.8
tt,3.5,9547258019.1,750016080.8,-777813711.8
tt,4.0,9808489513.0,403147122.5,-99124169.4
tt,4.5,9971087531.0,239106620.5,-191319278.7
tt,5.0,10078556702.2,200980335.9,-44033848.1
tt,5.5,10174756760.3,187486801.1,-3403140.2
tt,6.0,10269322562.9,190272250.3,-17266943.6
tt,6.5,10356181922.6,148232027.4,-115174519.3
tt,7.0,10418389030.7,106409087.6,-49514984.6
tt,7.5,10467319985.9,92205327.5,-14328212.4
tt,8.0,10512190045.1,88241282.8,-2284536.9
tt,8.5,10556496942.7,89832217.1,7478142.7
tt,9.0,10602318880.3,92979677.2,1896059.4
tt,9.5,10648396164.2,90033684.1,-13204488.2
tt,10.0,10691459336.6,82005716.8,-15681193.7
tt,10.5,10731009109.5,77571768.3,722048.9
tt,11.0,10770979512.1,84619077.0,28091793.9
tt,11.5,10817731659.3,103603049.5,41616360.1
tt,12.0,10873562311.6,115979965.6,-2262790.4
tt,12.5,10928652449.5,100024166.4,-53144618.5
tt,13.0,10971769873.0,72896994.8,-48818661.0
tt,13.5,11002919990.1,53263859.6,-30358246.9
tt,14.0,11026324817.0,41343427.5,-18441941.1
tt,14.5,11045017565.5,34004546.0,-11478940.2
tt,15.0,11060788637.9,29444206.5,-7094687.0
c,-15.0,1096873890.2,-172797689.9,-4902532.8
c,-14.5,1010110942.4,-173751554.4,1119889.5
c,-14.0,923626896.7,-171686434.6,7089659.6
c,-13.5,838903536.4,-166755704.3,12496903.4
c,-13.0,757282291.4,-159366166.3,16847340.0
c,-12.5,679842292.9,-150152551.5,19738880.4
c,-12.0,607301783.6,-139908442.8,20951751.2
c,-11.5,539964457.5,-129478065.6,20510298.9
c,-11.0,477726267.8,-119624716.0,18720650.1
c,-10.5,420153173.6,-110876840.0,16227654.7
c,-10.0,366643028.6,-103348503.6,14028985.4
c,-9.5,316668224.8,-96625109.3,13143067.8
c,-9.0,270016025.0,-89912308.3,13997581.3
c,-8.5,226898740.8,-82342472.8,16571971.6
c,-8.0,187961087.7,-73049365.9,20867357.7
c,-7.5,154265110.8,-61277129.8,26343262.1
c,-7.0,127166703.7,-46606096.6,32489084.2
c,-6.5,108227307.6,-28490658.9,40460462.6
c,-6.0,99488769.9,-5462821.8,52490554.3
c,-5.5,103981713.1,24857275.4,69504900.5
c,-5.0,125884696.8,64294246.2,87817510.9
c,-4.5,169585266.3,111430051.4,98777607.2
c,-4.0,237704469.2,160896592.4,97041852.6
c,-3.5,329870473.6,206757859.9,84993196.5
c,-3.0,443194829.1,245241205.5,69865607.9
