attr,theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
c,-15.0,1096873890.2,-172797689.9,-4902532.8
c,-14.5,1010110942.4,-173751554.4,1119889.5
c,-14.0,923626896.7,-171686434.6,7089659.6
c,-13.5,838903536.4,-166755704.3,12496903.4
c,-13.0,757282291.4,-159366166.3,16847340.0
c,-12.5,679842292.9,-150152551.5,19738880.4
c,-12.0,607301783.6,-139908442.8,20951751.2
c,-11.5,539964457.5,-129478065.6,20510298.9
c,-11.0,477726267.8,-119624716.0,18720650.1
c,-10.5,420153173.6,-110876840.0,16227654.7
c,-10.0,366643028.6,-103348503.6,14028985.4
c,-9.5,316668224.8,-96625109.3,13143067.8
c,-9.0,270016025.0,-89912308.3,13997581.3
c,-8.5,226898740.8,-82342472.8,16571971.6
c,-8.0,187961087.7,-73049365.9,20867357.7
c,-7.5,154265110.8,-61277129.8,26343262.1
c,-7.0,127166703.7,-46606096.6,32489084.2
c,-6.5,108227307.6,-28490658.9,40460462.6
c,-6.0,99488769.9,-5462821.8,52490554.3
c,-5.5,103981713.1,24857275.4,69504900.5
c,-5.0,125884696.8,64294246.2,87817510.9
c,-4.5,169585266.3,111430051.4,98777607.2
c,-4.0,237704469.2,160896592.4,97041852.6
c,-3.5,329870473.6,206757859.9,84993196.5
c,-3.0,443194829.1,245241205.5,69865607.9
c,-2.5,574414439.4,280032570.1,74943563.1
c,-2.0,725182309.3,326581598.5,117196921.4
c,-1.5,905769991.9,401362013.1,183851645.6
c,-1.0,1132253655.7,509814202.3,245722319.8
c,-0.5,1418711982.6,635270343.0,235279697.7
c,0.0,1761847910.4,729620144.5,149833462.6
c,0.5,2145857099.8,810400155.7,194600105.9
c,1.0,2579627918.5,933368832.4,297188134.1
c,1.5,3087276664.7,1105068880.0,393605826.6
c,2.0,3693666202.3,1326232125.3,448336911.4
c,2.5,4402985530.3,1487034281.8,173496117.0
c,3.0,5158349887.0,1517871435.5,-30331937.0
c,3.5,5906975234.5,1465966422.2,-155155797.5
c,4.0,6619687327.9,1386758641.0,-124458490.0
c,4.5,7306563876.2,1371042012.1,-49413611.9
c,5.0,7960006610.4,1198316263.2,-528166400.9
c,5.5,8497500539.5,961195668.8,-428284115.2
c,6.0,8925526057.7,753229477.6,-396346933.9
c,6.5,9256213045.4,577785731.1,-299037077.4
c,7.0,9512175774.1,454823769.4,-194044723.3
c,7.5,9719275749.5,380796118.7,-108176378.7
c,8.0,9898150020.4,337341788.8,-76422401.8
c,8.5,10056795881.7,295500064.8,-96571563.2
c,9.0,10191150958.6,239703129.7,-121938532.4
c,9.5,10296120871.6,181967570.9,-101238613.4
c,10.0,10376148093.7,141462100.8,-61943291.2
c,10.5,10440376673.9,117647099.3,-35433344.2
c,11.0,10495573338.3,104607869.1,-17798557.9
c,11.5,10546183645.2,98752645.1,-6772915.6
c,12.0,10594959268.0,96709136.2,-2433004.4
c,12.5,10643019642.8,95467014.2,-3168907.6
c,13.0,10690239386.0,93152328.2,-6240128.4
c,13.5,10735904542.8,89266228.3,-9125441.4
c,14.0,10779318143.6,84260933.2,-10658631.2
c,14.5,10820090372.3,78792512.6,-11098782.7
c,15.0,10858094342.8,73215186.8,-11202807.5
