stage,iter,theta_tt,theta_c,theta_s,objective,vot
norefined,1,0.000,0.000,0.000,2629656443.603,
norefined,2,-0.499,-0.022,-0.023,1517308406.573,22.541
norefined,3,-0.342,-0.296,-0.411,798951102.634,1.156
norefined,4,0.024,-0.529,-0.659,15336946810.651,-0.046
norefined,5,-0.476,-0.530,-0.661,587417314.838,0.899
norefined,6,-0.055,-0.725,-0.846,571774828.254,0.076
norefined,7,-0.554,-0.750,-0.821,480798020.968,0.739
norefined,8,-0.113,-0.924,-0.979,368682502.642,0.122
norefined,9,-0.609,-0.967,-0.934,411341089.616,0.629
norefined,10,-0.156,-1.126,-1.076,285051188.257,0.139
refined,11,-0.156,-1.126,-1.076,285051188.257,0.139
refined,12,-0.240,-1.936,-1.414,178219329.199,0.124
refined,13,-0.354,-2.983,-1.900,134017818.142,0.119
refined,14,-0.482,-4.131,-2.437,116046436.782,0.117
refined,15,-0.608,-5.137,-2.913,109470968.345,0.118
refined,16,-0.714,-5.929,-3.270,105522738.154,0.120
refined,17,-0.833,-6.697,-3.603,103567544.283,0.124
refined,18,-0.944,-7.320,-3.872,103266680.619,0.129
refined,19,-1.012,-7.640,-4.054,103613062.136,0.132
refined,20,-1.050,-7.810,-4.168,104145921.571,0.134
