stage,iter,theta_tt,theta_c,theta_s,objective,vot
norefined,1,0.000,0.000,0.000,2909850675.462,
norefined,2,-0.420,-0.185,-0.198,2517919165.425,2.270
norefined,3,-0.036,-0.363,-0.464,1478514914.674,0.099
norefined,4,-0.528,-0.448,-0.450,1975897028.064,1.180
norefined,5,-0.102,-0.602,-0.661,932589676.278,0.169
norefined,6,-0.593,-0.679,-0.609,1682754059.614,0.874
norefined,7,-0.151,-0.820,-0.794,678907980.222,0.184
norefined,8,-0.640,-0.890,-0.720,1489248038.870,0.719
norefined,9,-0.189,-1.022,-0.889,537001505.379,0.185
norefined,10,-0.677,-1.085,-0.804,1349324854.972,0.624
refined,11,-0.189,-1.022,-0.889,537001505.379,0.185
refined,12,-0.379,-2.004,-1.240,231750903.848,0.189
refined,13,-0.675,-3.818,-2.124,124571359.862,0.177
refined,14,-1.014,-6.097,-3.228,96460048.207,0.166
refined,15,-1.083,-6.590,-3.464,95997332.028,0.164
refined,16,-1.074,-6.522,-3.429,95989243.648,0.165
refined,17,-1.076,-6.536,-3.437,95988882.902,0.165
refined,18,-1.076,-6.533,-3.435,95988868.329,0.165
refined,19,-1.076,-6.534,-3.435,95988867.726,0.165
refined,20,-1.076,-6.534,-3.435,95988867.701,0.165
