stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.298,-5.010,-3.743,-0.903,-1.663,1.965,0.559,1.739,0.956,1071463647.241,0.459
norefined,2,-1.965,-5.110,-3.953,-0.971,-1.701,1.742,0.445,1.640,0.877,785129153.952,0.384
norefined,3,-1.526,-5.176,-4.123,-0.985,-1.724,1.593,0.410,1.638,0.875,487475176.958,0.295
norefined,4,-1.096,-5.273,-4.259,-0.946,-1.715,1.416,0.353,1.597,0.872,316619260.834,0.208
norefined,5,-0.751,-5.419,-4.329,-0.912,-1.697,1.150,0.228,1.481,0.817,236964987.376,0.139
norefined,6,-0.921,-5.540,-4.339,-0.928,-1.636,0.797,0.028,1.312,0.720,193808342.453,0.166
norefined,7,-0.513,-5.678,-4.338,-0.822,-1.577,0.604,-0.048,1.234,0.724,201228623.469,0.090
norefined,8,-0.998,-5.684,-4.310,-0.851,-1.543,0.526,-0.087,1.170,0.711,175163189.384,0.176
norefined,9,-0.551,-5.801,-4.308,-0.745,-1.495,0.393,-0.135,1.116,0.720,177886650.984,0.095
norefined,10,-1.041,-5.797,-4.276,-0.762,-1.453,0.331,-0.154,1.063,0.729,161318013.546,0.180
refined,11,-1.041,-5.797,-4.276,-0.762,-1.453,0.331,-0.154,1.063,0.729,161318013.546,0.180
refined,12,-0.763,-5.589,-0.578,0.257,2.477,-0.706,0.457,-1.965,-1.810,475853060.133,0.137
refined,13,-1.587,-8.996,-2.320,1.247,0.970,-0.639,0.846,-1.903,-2.108,134941013.447,0.176
refined,14,-1.109,-6.986,-2.081,1.138,-0.493,-0.591,0.870,-0.109,-1.322,85361842.250,0.159
refined,15,-1.242,-7.534,-3.420,0.123,0.313,-0.404,0.520,-0.329,-0.481,57257732.639,0.165
refined,16,-1.210,-7.499,-3.321,0.183,0.062,-0.359,0.502,-0.637,-0.407,55940845.290,0.161
refined,17,-1.372,-8.436,-3.776,0.146,0.101,-0.393,0.537,-0.724,-0.445,55823673.864,0.163
refined,18,-1.277,-7.933,-3.457,0.164,0.032,-0.437,0.514,-0.720,-0.354,55795977.747,0.161
refined,19,-1.401,-8.626,-3.797,0.143,0.071,-0.454,0.538,-0.752,-0.406,55774271.661,0.162
refined,20,-1.310,-8.130,-3.504,0.164,0.022,-0.483,0.520,-0.732,-0.339,55768713.401,0.161
