stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.654,"[-1.196, -0.113]",0.541,-2.411,0.019
norefined,c,-4.983,"[-9.37, -0.597]",4.387,-2.267,0.027
norefined,s,-3.189,"[-5.966, -0.412]",2.777,-2.292,0.025
norefined,k0,0.504,"[-0.565, 1.572]",1.069,0.940,0.350
norefined,k1,-1.711,"[-3.154, -0.269]",1.442,-2.369,0.021
norefined,k2,0.221,"[-0.851, 1.293]",1.072,0.411,0.682
norefined,k3,0.418,"[-1.0, 1.836]",1.418,0.588,0.558
norefined,k4,0.054,"[-0.757, 0.866]",0.811,0.134,0.894
norefined,k5,0.798,"[-0.279, 1.875]",1.077,1.479,0.144
refined,tt,-0.984,"[-1.359, -0.609]",0.375,-5.241,0.000
refined,c,-5.818,"[-8.202, -3.435]",2.384,-4.872,0.000
refined,s,-2.979,"[-4.206, -1.751]",1.228,-4.843,0.000
refined,k0,0.008,"[-0.632, 0.648]",0.640,0.025,0.980
refined,k1,0.365,"[-0.212, 0.942]",0.577,1.261,0.212
refined,k2,-0.254,"[-1.061, 0.554]",0.808,-0.627,0.533
refined,k3,-0.267,"[-1.136, 0.603]",0.870,-0.613,0.542
refined,k4,-0.258,"[-0.722, 0.207]",0.465,-1.107,0.272
refined,k5,0.785,"[-0.097, 1.668]",0.883,1.776,0.080
