attr,theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
tt,-15.0,4473031592.6,-40016846.3,5230374.3
tt,-14.5,4453454605.0,-38736995.1,-112536.9
tt,-14.0,4433852919.9,-40102720.6,-5305607.4
tt,-13.5,4412931861.6,-43986488.7,-10163508.2
tt,-13.0,4389479133.0,-50192891.0,-14585299.3
tt,-12.5,4362388570.2,-58505268.1,-18625037.9
tt,-12.0,4330638067.7,-68851464.5,-22915609.5
tt,-11.5,4293110250.1,-81817247.2,-29691002.5
tt,-11.0,4248011890.4,-99707362.1,-43215349.9
tt,-10.5,4192116341.4,-124770428.7,-52760186.3
tt,-10.0,4124249526.4,-143197399.3,-12338468.0
tt,-9.5,4052847707.5,-140548062.6,9169900.9
tt,-9.0,3982184474.4,-146188489.4,-38881939.2
tt,-8.5,3901325593.6,-183305859.3,-111016518.1
tt,-8.0,3793130930.6,-253563134.6,-157927841.4
tt,-7.5,3648245037.3,-319426630.5,-80323740.4
tt,-7.0,3484489706.5,-324978611.7,42325482.7
tt,-6.5,3328171526.1,-300341789.8,46409507.6
tt,-6.0,3183508385.0,-280743821.1,9217197.9
tt,-5.5,3034002549.9,-346106681.3,-332819529.5
tt,-5.0,2801021713.7,-608660674.0,-565894121.2
tt,-4.5,2456876933.6,-700841974.2,145194031.7
tt,-4.0,2121539840.6,-639079273.6,247970868.7
tt,-3.5,1852919882.9,-437759768.6,256149833.9
tt,-3.0,1655172912.0,-370204471.3,-20628344.3
tt,-2.5,1422803359.1,-680440118.2,-1452915316.5
tt,-2.0,905939572.3,-1250706855.2,-346353893.5
tt,-1.5,338456479.3,-793295624.5,1433304709.4
tt,-1.0,99488769.9,-55787477.9,2027109067.9
tt,-0.5,618091760.8,2802123614.7,5773771585.7
tt,0.0,2127959264.8,2760397273.0,-977053575.6
tt,0.5,3739393246.6,4092050578.0,-2294632511.9
tt,1.0,5558957877.5,3999739337.1,2404810958.7
tt,1.5,7453740297.7,2827680606.6,-5286416249.7
tt,2.0,8319955524.0,996067877.4,-1383446953.8
tt,2.5,8718263754.6,733281751.5,244929865.6
tt,3.0,9134110203.4,905479518.4,-120110244.8
tt,3.5,9547258019.1,750016080.8,-777813711.8
tt,4.0,9808489513.0,403147122.5,-99124169.4
tt,4.5,9971087531.0,239106620.5,-191319278.7
tt,5.0,10078556702.2,200980335.9,-44033848.1
tt,5.5,10174756760.3,187486801.1,-3403140.2
tt,6.0,10269322562.9,190272250.3,-17266943.6
tt,6.5,10356181922.6,148232027.4,-115174519.3
tt,7.0,10418389030.7,106409087.6,-49514984.6
tt,7.5,10467319985.9,92205327.5,-14328212.4
tt,8.0,10512190045.1,88241282.8,-2284536.9
tt,8.5,10556496942.7,89832217.1,7478142.7
tt,9.0,10602318880.3,92979677.2,1896059.4
tt,9.5,10648396164.2,90033684.1,-13204488.2
tt,10.0,10691459336.6,82005716.8,-15681193.7
tt,10.5,10731009109.5,77571768.3,722048.9
tt,11.0,10770979512.1,84619077.0,28091793.9
tt,11.5,10817731659.3,103603049.5,41616360.1
tt,12.0,10873562311.6,115979965.6,-2262790.4
tt,12.5,10928652449.5,100024166.4,-53144618.5
tt,13.0,10971769873.0,72896994.8,-48818661.0
tt,13.5,11002919990.1,53263859.6,-30358246.9
tt,14.0,11026324817.0,41343427.5,-18441941.1
tt,14.5,11045017565.5,34004546.0,-11478940.2
tt,15.0,11060788637.9,29444206.5,-7094687.0
