stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.396,-7.046,-3.999,0.921,-1.153,0.406,0.202,-0.071,-1.494,865580274.949,1584,0,0,0.056
norefined,2,-0.892,-7.035,-3.951,0.879,-1.152,0.408,0.194,-0.071,-1.508,584974399.769,1584,0,0,0.127
norefined,3,-1.375,-7.031,-3.854,0.866,-1.090,0.385,0.158,-0.084,-1.482,451130303.819,1584,0,0,0.196
norefined,4,-1.569,-7.193,-3.551,0.852,-0.920,0.318,0.012,-0.222,-1.339,405342890.312,1584,0,0,0.218
norefined,5,-1.143,-7.345,-3.453,0.832,-0.844,0.324,-0.111,-0.331,-1.288,429655127.019,1584,0,0,0.156
norefined,6,-1.624,-7.316,-3.362,0.809,-0.771,0.293,-0.132,-0.329,-1.241,379043163.861,1584,0,0,0.222
norefined,7,-1.164,-7.440,-3.321,0.780,-0.730,0.305,-0.232,-0.416,-1.214,409713746.821,1584,0,0,0.156
norefined,8,-1.651,-7.395,-3.259,0.757,-0.677,0.268,-0.238,-0.398,-1.168,365463725.754,1584,0,0,0.223
norefined,9,-1.179,-7.505,-3.247,0.725,-0.660,0.280,-0.327,-0.470,-1.150,399947837.468,1584,0,0,0.157
norefined,10,-1.667,-7.449,-3.207,0.705,-0.622,0.238,-0.321,-0.440,-1.106,358346016.463,1584,0,0,0.224
refined,11,-1.667,-7.449,-3.207,0.705,-0.622,0.238,-0.321,-0.440,-1.106,358346016.463,1584,0,0,0.224
refined,12,-1.410,-7.771,-3.167,-0.762,-0.272,-0.217,-0.318,0.159,0.038,302822152.091,1584,0,0,0.181
refined,13,-1.361,-7.507,-3.023,-0.564,-0.322,-0.172,-0.370,0.230,-0.000,302509546.462,1584,0,0,0.181
refined,14,-1.422,-7.828,-3.164,-0.667,-0.317,-0.187,-0.350,0.219,-0.015,302463622.106,1584,0,0,0.182
refined,15,-1.391,-7.660,-3.091,-0.610,-0.318,-0.170,-0.360,0.226,-0.003,302451791.323,1584,0,0,0.182
refined,16,-1.413,-7.781,-3.143,-0.649,-0.317,-0.178,-0.353,0.223,-0.011,302446086.093,1584,0,0,0.182
refined,17,-1.400,-7.710,-3.112,-0.625,-0.318,-0.171,-0.358,0.226,-0.006,302444114.691,1584,0,0,0.182
refined,18,-1.409,-7.757,-3.133,-0.640,-0.317,-0.175,-0.355,0.225,-0.009,302443254.369,1584,0,0,0.182
refined,19,-1.403,-7.728,-3.120,-0.631,-0.317,-0.173,-0.357,0.226,-0.007,302442928.314,1584,0,0,0.182
refined,20,-1.407,-7.747,-3.128,-0.637,-0.317,-0.174,-0.355,0.225,-0.008,302442792.738,1584,0,0,0.182
