attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.005,"[-1.636, -0.375]",0.631,-2.659,0.010,9.976,ngd,19,436579413.235,0.217,-1.000,-0.005,0,0,fn
c,-6.292,"[-9.894, -2.69]",3.602,-2.914,0.005,9.976,ngd,19,436579413.235,0.217,-6.000,-0.292,0,0,fn
s,-4.614,"[-7.638, -1.589]",3.025,-2.544,0.013,9.976,ngd,19,436579413.235,0.217,-3.000,-1.614,0,0,fn
k0,1.652,"[-0.152, 3.457]",1.804,1.527,0.131,9.976,ngd,19,436579413.235,0.217,0.000,1.652,0,0,fp
k1,0.766,"[-0.427, 1.959]",1.193,1.071,0.288,9.976,ngd,19,436579413.235,0.217,0.000,0.766,0,0,fp
k2,0.479,"[-0.409, 1.367]",0.888,0.900,0.371,9.976,ngd,19,436579413.235,0.217,0.000,0.479,0,0,fp
k3,-1.530,"[-3.199, 0.139]",1.669,-1.529,0.131,9.976,ngd,19,436579413.235,0.217,0.000,-1.530,0,0,fp
k4,0.643,"[-0.835, 2.121]",1.478,0.726,0.471,9.976,ngd,19,436579413.235,0.217,0.000,0.643,0,0,fp
k5,-0.750,"[-1.773, 0.274]",1.024,-1.221,0.226,9.976,ngd,19,436579413.235,0.217,0.000,-0.750,0,0,fp
vot,0.160,,,,,9.976,ngd,19,436579413.235,0.217,0.167,-0.007,0,0,fn
tt,-1.305,"[-1.781, -0.83]",0.475,-4.578,0.000,10.270,lm,19,195583584.530,0.145,-1.000,-0.305,0,0,fn
c,-8.263,"[-11.124, -5.402]",2.861,-4.818,0.000,10.270,lm,19,195583584.530,0.145,-6.000,-2.263,0,0,fn
s,-4.224,"[-5.731, -2.717]",1.507,-4.675,0.000,10.270,lm,19,195583584.530,0.145,-3.000,-1.224,0,0,fn
k0,1.822,"[0.324, 3.32]",1.498,2.029,0.046,10.270,lm,19,195583584.530,0.145,0.000,1.822,0,1,fp
k1,-1.338,"[-2.336, -0.34]",0.998,-2.236,0.029,10.270,lm,19,195583584.530,0.145,0.000,-1.338,0,1,fp
k2,0.227,"[-0.292, 0.746]",0.519,0.730,0.468,10.270,lm,19,195583584.530,0.145,0.000,0.227,0,0,fp
k3,0.822,"[0.124, 1.52]",0.698,1.964,0.054,10.270,lm,19,195583584.530,0.145,0.000,0.822,0,1,fp
k4,-1.059,"[-2.022, -0.097]",0.962,-1.836,0.071,10.270,lm,19,195583584.530,0.145,0.000,-1.059,0,1,fp
k5,-0.313,"[-0.88, 0.253]",0.566,-0.923,0.359,10.270,lm,19,195583584.530,0.145,0.000,-0.313,0,0,fp
vot,0.158,,,,,10.270,lm,19,195583584.530,0.145,0.167,-0.009,0,0,fn
tt,-1.305,"[-1.781, -0.83]",0.475,-4.579,0.000,20.611,ngd+lm,19,195583586.371,0.145,-1.000,-0.305,0,0,fn
c,-8.263,"[-11.123, -5.402]",2.860,-4.818,0.000,20.611,ngd+lm,19,195583586.371,0.145,-6.000,-2.263,0,0,fn
s,-4.224,"[-5.731, -2.717]",1.507,-4.675,0.000,20.611,ngd+lm,19,195583586.371,0.145,-3.000,-1.224,0,0,fn
k0,1.822,"[0.324, 3.32]",1.498,2.029,0.046,20.611,ngd+lm,19,195583586.371,0.145,0.000,1.822,0,1,fp
k1,-1.338,"[-2.335, -0.34]",0.998,-2.236,0.029,20.611,ngd+lm,19,195583586.371,0.145,0.000,-1.338,0,1,fp
k2,0.227,"[-0.292, 0.746]",0.519,0.730,0.468,20.611,ngd+lm,19,195583586.371,0.145,0.000,0.227,0,0,fp
k3,0.822,"[0.124, 1.52]",0.698,1.964,0.054,20.611,ngd+lm,19,195583586.371,0.145,0.000,0.822,0,1,fp
k4,-1.059,"[-2.022, -0.097]",0.962,-1.836,0.071,20.611,ngd+lm,19,195583586.371,0.145,0.000,-1.059,0,1,fp
k5,-0.313,"[-0.88, 0.253]",0.566,-0.923,0.359,20.611,ngd+lm,19,195583586.371,0.145,0.000,-0.313,0,0,fp
vot,0.158,,,,,20.611,ngd+lm,19,195583586.371,0.145,0.167,-0.009,0,0,fn
