attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.992,"[-1.267, -0.718]",0.275,-7.214,0.000,32,0.150,86007218.470,0.095,-1.000,0.008,0,0,fn
c,-5.655,"[-7.172, -4.137]",1.517,-7.438,0.000,32,0.150,86007218.470,0.095,-6.000,0.345,0,0,fn
s,-3.176,"[-4.081, -2.272]",0.905,-7.009,0.000,32,0.150,86007218.470,0.095,-3.000,-0.176,0,0,fn
k0,0.492,"[-0.154, 1.138]",0.646,1.520,0.133,32,0.150,86007218.470,0.095,0.000,0.492,0,0,fp
k1,0.524,"[-0.022, 1.07]",0.546,1.915,0.060,32,0.150,86007218.470,0.095,0.000,0.524,0,1,fp
k2,-0.138,"[-0.554, 0.279]",0.416,-0.661,0.511,32,0.150,86007218.470,0.095,0.000,-0.138,0,0,fp
k3,-0.596,"[-1.245, 0.053]",0.649,-1.833,0.071,32,0.150,86007218.470,0.095,0.000,-0.596,0,1,fp
k4,-0.010,"[-0.485, 0.465]",0.475,-0.042,0.966,32,0.150,86007218.470,0.095,0.000,-0.010,0,0,fp
k5,-0.236,"[-0.655, 0.183]",0.419,-1.125,0.265,32,0.150,86007218.470,0.095,0.000,-0.236,0,0,fp
vot,0.175,,,,,32,0.150,86007218.470,0.095,0.167,0.009,0,0,fn
tt,-0.814,"[-1.041, -0.587]",0.227,-7.172,0.000,32,0.200,105240603.562,0.103,-1.000,0.186,0,0,fn
c,-5.131,"[-6.651, -3.611]",1.520,-6.737,0.000,32,0.200,105240603.562,0.103,-6.000,0.869,0,0,fn
s,-2.328,"[-2.987, -1.67]",0.658,-7.058,0.000,32,0.200,105240603.562,0.103,-3.000,0.672,0,0,fn
k0,0.079,"[-0.421, 0.58]",0.501,0.316,0.753,32,0.200,105240603.562,0.103,0.000,0.079,0,0,fp
k1,-0.181,"[-0.72, 0.359]",0.540,-0.668,0.507,32,0.200,105240603.562,0.103,0.000,-0.181,0,0,fp
k2,0.316,"[-0.035, 0.666]",0.350,1.799,0.076,32,0.200,105240603.562,0.103,0.000,0.316,0,1,fp
k3,0.097,"[-0.491, 0.686]",0.589,0.330,0.743,32,0.200,105240603.562,0.103,0.000,0.097,0,0,fp
k4,0.075,"[-0.333, 0.482]",0.408,0.365,0.716,32,0.200,105240603.562,0.103,0.000,0.075,0,0,fp
k5,0.127,"[-0.277, 0.531]",0.404,0.627,0.533,32,0.200,105240603.562,0.103,0.000,0.127,0,0,fp
vot,0.159,,,,,32,0.200,105240603.562,0.103,0.167,-0.008,0,0,fn
tt,-1.334,"[-1.843, -0.824]",0.509,-5.229,0.000,32,0.250,121802613.737,0.112,-1.000,-0.334,0,0,fn
c,-8.432,"[-11.859, -5.006]",3.426,-4.912,0.000,32,0.250,121802613.737,0.112,-6.000,-2.432,0,0,fn
s,-3.828,"[-5.221, -2.434]",1.393,-5.483,0.000,32,0.250,121802613.737,0.112,-3.000,-0.828,0,0,fn
k0,0.146,"[-0.664, 0.957]",0.811,0.361,0.720,32,0.250,121802613.737,0.112,0.000,0.146,0,0,fp
k1,-0.173,"[-1.061, 0.715]",0.888,-0.389,0.698,32,0.250,121802613.737,0.112,0.000,-0.173,0,0,fp
k2,0.022,"[-0.529, 0.573]",0.551,0.078,0.938,32,0.250,121802613.737,0.112,0.000,0.022,0,0,fp
k3,0.024,"[-1.107, 1.155]",1.131,0.042,0.966,32,0.250,121802613.737,0.112,0.000,0.024,0,0,fp
k4,0.064,"[-0.638, 0.767]",0.702,0.183,0.855,32,0.250,121802613.737,0.112,0.000,0.064,0,0,fp
k5,0.430,"[-0.218, 1.079]",0.649,1.324,0.190,32,0.250,121802613.737,0.112,0.000,0.430,0,0,fp
vot,0.158,,,,,32,0.250,121802613.737,0.112,0.167,-0.009,0,0,fn
