stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.124,"[-1.789, -0.459]",0.665,-3.376,0.001
norefined,c,-5.301,"[-9.028, -1.573]",3.727,-2.839,0.006
norefined,s,-4.181,"[-6.643, -1.72]",2.462,-3.390,0.001
norefined,k0,1.028,"[-0.354, 2.41]",1.382,1.484,0.142
norefined,k1,-0.426,"[-1.4, 0.547]",0.973,-0.875,0.385
norefined,k2,-1.497,"[-2.843, -0.151]",1.346,-2.220,0.030
norefined,k3,-0.020,"[-1.102, 1.061]",1.082,-0.038,0.970
norefined,k4,0.411,"[-0.86, 1.683]",1.272,0.646,0.521
norefined,k5,-0.692,"[-1.71, 0.326]",1.018,-1.358,0.179
refined,tt,-0.927,"[-1.219, -0.635]",0.292,-6.344,0.000
refined,c,-5.041,"[-6.813, -3.269]",1.772,-5.678,0.000
refined,s,-2.651,"[-3.525, -1.777]",0.874,-6.053,0.000
refined,k0,-0.198,"[-0.701, 0.305]",0.503,-0.784,0.436
refined,k1,0.300,"[-0.089, 0.689]",0.389,1.540,0.128
refined,k2,0.159,"[-0.285, 0.602]",0.443,0.715,0.477
refined,k3,-0.332,"[-0.605, -0.058]",0.273,-2.423,0.018
refined,k4,0.029,"[-0.335, 0.392]",0.363,0.157,0.876
refined,k5,0.295,"[0.004, 0.586]",0.291,2.023,0.047
