stage,iter,theta_tt,objective,vot
norefined,1,-14.000,23438.658,
norefined,2,-12.000,20751.314,
norefined,3,-10.000,18433.152,
norefined,4,-8.000,16733.308,
norefined,5,-6.000,14365.001,
norefined,6,-4.000,10346.091,
norefined,7,-2.000,3354.861,
norefined,8,0.000,22854.681,
norefined,9,-2.000,3354.861,
norefined,10,0.000,22854.681,
refined,11,-2.000,3354.861,
refined,12,-1.471,2313.709,
refined,13,-1.458,2314.896,
refined,14,-1.456,2315.161,
refined,15,-1.456,2315.195,
refined,16,-1.456,2315.199,
refined,17,-1.456,2315.200,
refined,18,-1.456,2315.200,
refined,19,-1.456,2315.200,
refined,20,-1.456,2315.200,
