theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,72579.6,-5418.0,266.8
-14.5,71327.6,-5495.1,299.5
-14.0,70044.7,-5572.7,336.4
-13.5,68730.5,-5650.6,378.3
-13.0,67384.6,-5728.3,426.0
-12.5,66006.8,-5805.7,480.5
-12.0,64597.1,-5882.4,543.0
-11.5,63155.6,-5957.8,615.0
-11.0,61682.8,-6031.3,698.4
-10.5,60179.3,-6102.3,795.4
-10.0,58646.3,-6169.7,909.0
-9.5,57085.5,-6232.6,1042.7
-9.0,55498.8,-6289.4,1201.4
-8.5,53889.2,-6338.4,1391.1
-8.0,52260.3,-6377.0,1620.0
-7.5,50615.5,-6402.6,1898.8
-7.0,48953.8,-6411.1,2242.2
-6.5,47271.5,-6395.2,2669.7
-6.0,45572.7,-6363.4,3211.9
-5.5,43869.0,-6291.8,3909.5
-5.0,42154.0,-6185.0,4826.2
-4.5,40464.7,-5973.6,6046.8
-4.0,38733.4,-5384.0,7622.1
-3.5,36963.4,-5393.3,9937.0
-3.0,35485.3,-5817.6,13074.1
-2.5,34197.0,-7164.5,13313.4
-2.0,34641.1,-1219.9,-16687.6
-1.5,19878.3,-27908.8,-103758.8
-1.0,0.0,-46404.2,239400.3
-0.5,194164.6,785769.1,4593667.3
0.0,1645345.3,10407796.1,41764154.4
0.5,22236292.0,0.0,-0.0
1.0,22236292.0,0.0,-0.0
1.5,22236292.0,0.0,-0.0
2.0,22236292.0,0.0,-0.0
2.5,22236292.0,0.0,-0.0
3.0,22236292.0,0.0,-0.0
3.5,22236292.0,0.0,-0.0
4.0,22236292.0,0.0,-0.0
4.5,22236292.0,0.0,-0.0
5.0,22236292.0,0.0,-0.0
5.5,22236292.0,0.0,-0.0
6.0,22236292.0,0.0,-0.0
6.5,22236292.0,0.0,-0.0
7.0,22236292.0,0.0,-0.0
7.5,22236292.0,0.0,-0.0
8.0,22236292.0,0.0,-0.0
8.5,22236292.0,0.0,-0.0
9.0,22236292.0,0.0,-0.0
9.5,22236292.0,0.0,-0.0
10.0,22236292.0,0.0,-0.0
10.5,22236292.0,0.0,-0.0
11.0,22236292.0,0.0,-0.0
11.5,22236292.0,0.0,-0.0
12.0,22236292.0,0.0,-0.0
12.5,22236292.0,0.0,-0.0
13.0,22236292.0,0.0,-0.0
13.5,22236292.0,0.0,-0.0
14.0,22236292.0,0.0,-0.0
14.5,22236292.0,0.0,-0.0
15.0,22236292.0,0.0,-0.0
