theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,63878.0,-1932.1,-95.8
-14.5,63567.2,-1979.2,-102.8
-14.0,63252.7,-2022.2,-111.2
-13.5,62933.3,-2060.4,-122.3
-13.0,62607.5,-2093.4,-137.6
-12.5,62273.2,-2121.7,-159.1
-12.0,61927.7,-2147.4,-189.7
-11.5,61376.9,-2274.5,-230.7
-11.0,61013.8,-2476.8,-289.4
-10.5,60403.9,-2444.0,-356.2
-10.0,59782.6,-2595.3,-447.5
-9.5,59112.1,-2769.5,-568.3
-9.0,58377.6,-3140.4,-715.3
-8.5,57523.7,-3396.1,-923.3
-8.0,56415.3,-3792.3,-1179.5
-7.5,55128.8,-4281.2,-1521.1
-7.0,53594.8,-4908.7,-1976.6
-6.5,51659.4,-5760.5,-2555.3
-6.0,49261.2,-6881.8,-3303.6
-5.5,46397.6,-8393.9,-4282.9
-5.0,43229.0,-10496.2,-5595.9
-4.5,38993.4,-13333.8,-7381.4
-4.0,34306.2,-17277.4,-9208.5
-3.5,29222.5,-22107.6,-10763.8
-3.0,23799.7,-27402.5,-11327.4
-2.5,18004.0,-32269.0,-8623.1
-2.0,11615.1,-34336.8,3250.1
-1.5,4590.7,-28010.5,34895.3
-1.0,0.0,-1865.9,97397.4
-0.5,11913.6,61258.1,171263.8
0.0,63808.1,154100.6,158434.4
0.5,149736.0,220404.4,23298.2
1.0,245036.5,224171.5,-84387.0
1.5,330788.4,188681.0,-114023.2
2.0,650717.1,37656.1,-35555.3
2.5,668743.6,25586.5,-17640.4
3.0,681297.6,17685.6,-12677.9
3.5,689614.1,11839.9,-9113.9
4.0,694940.8,7764.8,-6274.6
4.5,698319.5,5042.5,-4198.7
5.0,700463.3,3260.5,-2765.2
5.5,701827.9,2104.6,-1805.1
6.0,702699.4,1357.8,-1172.5
6.5,703257.7,876.0,-759.5
7.0,703616.2,565.5,-491.2
7.5,703846.9,365.2,-317.5
8.0,703995.6,236.0,-205.2
8.5,704091.6,152.7,-132.6
9.0,704153.6,98.8,-85.7
9.5,704193.8,64.0,-55.5
10.0,704219.8,41.5,-35.9
10.5,704236.6,26.9,-23.3
11.0,704247.6,17.5,-15.1
11.5,704254.7,11.4,-9.8
12.0,704259.3,7.4,-6.4
12.5,704262.3,4.8,-4.1
13.0,704264.3,3.1,-2.7
13.5,704265.6,2.1,-1.7
14.0,704266.4,1.3,-1.1
14.5,704266.9,0.9,-0.7
15.0,704267.3,0.6,-0.5
