stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,73525.573,26,0,0,
norefined,2,-12.000,70098.589,26,0,0,
norefined,3,-10.000,65501.220,26,0,0,
norefined,4,-8.000,60030.098,26,0,0,
norefined,5,-6.000,52489.046,26,0,0,
norefined,6,-4.000,39677.996,26,0,0,
norefined,7,-2.000,14312.469,26,0,0,
norefined,8,0.000,74188.738,26,0,0,
norefined,9,-2.000,14312.469,26,0,0,
norefined,10,0.000,74188.738,26,0,0,
refined,11,-2.000,14312.469,26,0,0,
refined,12,-0.874,5106.227,26,0,0,
refined,13,-1.046,3544.700,26,0,0,
refined,14,-1.074,3489.070,26,0,0,
refined,15,-1.078,3485.558,26,0,0,
refined,16,-1.079,3485.192,26,0,0,
refined,17,-1.079,3485.149,26,0,0,
refined,18,-1.079,3485.145,26,0,0,
refined,19,-1.079,3485.144,26,0,0,
refined,20,-1.079,3485.144,26,0,0,
