theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,482953.4,-18.2,-14.2
-14.5,482942.3,-26.9,-21.0
-14.0,482925.8,-39.8,-31.1
-13.5,482901.5,-58.8,-46.0
-13.0,482865.5,-87.0,-68.1
-12.5,482812.3,-128.6,-100.7
-12.0,482733.5,-190.2,-148.8
-11.5,482617.1,-281.1,-220.0
-11.0,482444.9,-415.6,-325.1
-10.5,482190.4,-614.0,-480.3
-10.0,481814.2,-906.9,-709.0
-9.5,481258.4,-1338.6,-1045.7
-9.0,480437.7,-1974.0,-1540.4
-8.5,479227.0,-2907.5,-2265.0
-8.0,477443.4,-4274.7,-3322.0
-7.5,474821.1,-6269.3,-4854.8
-7.0,470977.0,-9163.7,-7058.9
-6.5,465366.5,-13332.5,-10190.6
-6.0,457230.2,-19276.6,-14565.6
-5.5,445539.6,-27639.8,-20530.9
-5.0,428961.4,-39200.2,-28380.1
-4.5,405879.4,-54812.5,-38157.2
-4.0,374527.0,-75244.2,-49243.7
-3.5,333279.6,-100792.9,-59537.4
-3.0,281089.9,-130420.0,-63898.7
-2.5,218001.4,-159895.7,-51569.8
-2.0,146007.7,-178305.7,-3272.6
-1.5,71960.0,-163035.9,107363.4
-1.0,15757.6,-77275.7,293945.1
-0.5,20776.7,114372.3,501245.3
0.0,144373.1,394975.9,567597.8
0.5,404459.6,659984.6,357170.3
1.0,748026.7,775886.8,-37729.9
1.5,1097693.0,692445.4,-341514.6
2.0,1395816.9,494219.4,-400443.8
2.5,1620993.6,301854.3,-306159.7
3.0,1777883.5,168429.4,-191198.2
3.5,1881628.9,89884.3,-108187.1
4.0,1947998.8,47079.3,-58455.5
4.5,1989591.4,24509.3,-30947.2
5.0,2015326.9,12750.9,-16248.9
5.5,2031127.0,6642.0,-8507.5
6.0,2040781.4,3465.8,-4451.9
6.5,2046663.3,1811.3,-2330.4
7.0,2050240.7,947.8,-1220.5
7.5,2052414.0,496.4,-639.6
8.0,2053733.6,260.2,-335.3
8.5,2054534.4,136.4,-175.9
9.0,2055020.3,71.6,-92.2
9.5,2055315.1,37.5,-48.4
10.0,2055493.9,19.7,-25.4
10.5,2055602.4,10.3,-13.3
11.0,2055668.2,5.4,-7.0
11.5,2055708.1,2.8,-3.7
12.0,2055732.3,1.5,-1.9
12.5,2055746.9,0.8,-1.0
13.0,2055755.8,0.4,-0.5
13.5,2055761.3,0.2,-0.3
14.0,2055764.5,0.1,-0.1
14.5,2055766.5,0.1,-0.1
15.0,2055767.7,0.0,-0.0
