stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,16876.723,26,0,0,
norefined,2,-12.000,16106.287,26,0,0,
norefined,3,-10.000,14623.732,26,0,0,
norefined,4,-8.000,12570.888,26,0,0,
norefined,5,-6.000,9528.118,26,0,0,
norefined,6,-4.000,6670.917,26,0,0,
norefined,7,-2.000,3415.833,26,0,0,
norefined,8,0.000,26959.365,26,0,0,
norefined,9,-2.000,3415.833,26,0,0,
norefined,10,0.000,26959.365,26,0,0,
refined,11,-2.000,3415.833,26,0,0,
refined,12,-0.908,1105.409,26,0,0,
refined,13,-1.031,781.171,26,0,0,
refined,14,-1.054,761.375,26,0,0,
refined,15,-1.057,759.195,26,0,0,
refined,16,-1.058,758.877,26,0,0,
refined,17,-1.058,758.828,26,0,0,
refined,18,-1.058,758.821,26,0,0,
refined,19,-1.058,758.820,26,0,0,
refined,20,-1.058,758.819,26,0,0,
